"key","English (en)","Spanish (es)","Chinese (Simplified) (zh-CN)"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","Cambiar la ruta de derivación borra las direcciones, el historial y los registros UTXO actuales. La billetera regenerará y resincronizará solo la nueva ruta. ¿Continuar?","更改派生路径会清除当前地址、历史记录和 UTXO。钱包随后只会重新生成并同步新路径。是否继续？"
"settingsDerivation.currentMode","Current mode: {mode}.","Modo actual: {mode}.","当前模式：{mode}。"
"settingsDerivation.custom","custom","personalizado","自定义"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN admite una ruta de cuenta BIP44 activa a la vez. Reconfigurarla elimina los registros derivados anteriores y realiza una nueva búsqueda y sincronización de recepción y cambio.","OPTN 同时支持一条活动的 BIP44 账户路径。重新配置会移除旧的派生记录，并重新发现和同步收款/找零地址。"
"settingsDerivation.failed","Wallet reconfiguration failed.","No se pudo reconfigurar la billetera.","钱包重新配置失败。"
"settingsDerivation.invalidPath","Invalid derivation path.","Ruta de derivación no válida.","派生路径无效。"
"settingsDerivation.networkDefault","network default","predeterminado de la red","网络默认值"
"settingsDerivation.reconfiguring","Reconfiguring…","Reconfigurando…","重新配置中…"
"settingsDerivation.useDefault","Use network default","Usar el valor predeterminado de la red","使用网络默认值"
"settingsNetwork.active","Active","Activa","当前"
"settingsNetwork.chipnet","Chipnet","Chipnet","Chipnet"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","Red de pruebas BCH para próximos CHIPs: solo fondos de prueba","BCH 测试网 — 仅限测试资金"
"settingsNetwork.comingSoon","Coming soon","Próximamente","即将推出"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","Cambiar de red borra los registros activos, deriva la ruta de red y vuelve a sincronizar las direcciones de recepción y cambio. Las rutas personalizadas se conservan.","切换网络会清除当前网络记录、派生网络路径，并重新同步收款和找零地址。自定义路径会在网络切换后保留。"
"settingsNetwork.mainnet","Mainnet","Mainnet","主网"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","Red BCH activa: fondos reales","真实 BCH 网络 — 真实资金"
"settingsNetwork.regtest","Regtest","Regtest","Regtest"
"settingsNetwork.reload","Reload and resync current wallet","Recargar y resincronizar la billetera actual","重新加载并同步当前钱包"
"settingsNetwork.reloading","Reloading wallet…","Recargando billetera…","正在重新加载钱包…"
"settingsNetwork.switching","Switching…","Cambiando…","切换中…"
"settingsNetwork.testnet3","Testnet3","Testnet3","Testnet3"
"settingsNetwork.testnet4","Testnet4","Testnet4","Testnet4"
"settingsPanels.addons","Addons","Complementos","插件"
"settingsPanels.appLock","App Lock","Bloqueo de la aplicación","应用锁"
"settingsPanels.cashfusion","CashFusion","CashFusion","CashFusion"
"settingsPanels.console","Console","Consola","控制台"
"settingsPanels.contract","Contract Info","Información del contrato","合约信息"
"settingsPanels.derivation","Derivation Path","Ruta de derivación","派生路径"
"settingsPanels.experimental","Experimental Features","Funciones experimentales","实验性功能"
"settingsPanels.faucet","Chipnet Faucet","Grifo de Chipnet","Chipnet 水龙头"
"settingsPanels.nostr","Nostr & Chat","Nostr y chat","Nostr 与聊天"
"settingsPanels.server","Server","Servidor","服务器"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","WalletConnect"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","WizardConnect"
"settingsRows.about","About OPTN","Acerca de OPTN","关于 OPTN"
"settingsRows.aboutDescription","Version info","Información de la versión","版本信息"
"settingsRows.addons","Addons","Complementos","插件"
"settingsRows.addonsDescription","Install and manage third-party addons","Instala y gestiona complementos de terceros","安装和管理第三方插件"
"settingsRows.appLock","App Lock","Bloqueo de la aplicación","应用锁"
"settingsRows.appLockDescription","Auto-lock · Change password","Bloqueo automático · Cambiar contraseña","自动锁定 · 更改密码"
"settingsRows.console","Console","Consola","控制台"
"settingsRows.consoleDescription","App log · Electrum RPC","Registro de la aplicación · RPC de Electrum","应用日志 · Electrum RPC"
"settingsRows.contact","Contact Us","Contacto","联系我们"
"settingsRows.contactDescription","Get help and support","Obtén ayuda y soporte","获取帮助和支持"
"settingsRows.contractInfo","Contract Info","Información del contrato","合约信息"
"settingsRows.contractInfoDescription","View contract details","Ver detalles del contrato","查看合约详情"
"settingsRows.derivation","Derivation Path","Ruta de derivación","派生路径"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","Personaliza y vuelve a sincronizar la ruta BIP44 activa","自定义并重新同步当前 BIP44 路径"
"settingsRows.experimental","Experimental Features","Funciones experimentales","实验性功能"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","RPA · CashFusion"
"settingsRows.faucet","Chipnet Faucet","Grifo de Chipnet","Chipnet 水龙头"
"settingsRows.faucetDescription","Get test BCH on Chipnet","Obtén BCH de prueba en Chipnet","在 Chipnet 获取测试 BCH"
"settingsRows.language","Language","Idioma","语言"
"settingsRows.languageDescription","Choose the wallet interface language","Elige el idioma de la interfaz","选择钱包界面语言"
"settingsRows.network","Network","Red","网络"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","Cambia entre Mainnet y Chipnet","在主网和 Chipnet 之间切换"
"settingsRows.nostr","Nostr & Chat","Nostr y chat","Nostr 与聊天"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","Mensajes privados · Identidad · Grupo de relés","私信 · 身份 · 中继池"
"settingsRows.pendingOutbox","Pending Tx Locks","Bloqueos de transacciones pendientes","待处理交易锁"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","Revisa los bloqueos de transacciones salientes","查看转出交易锁"
"settingsRows.recovery","Recovery Phrase","Frase de recuperación","恢复短语"
"settingsRows.recoveryDescription","Back up your wallet","Haz una copia de seguridad","备份钱包"
"settingsRows.server","Servers","Servidores","服务器"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · Explorador de bloques · Comisiones","Electrum · 区块浏览器 · 交易费用"
"settingsRows.terms","Terms of Use","Términos de uso","使用条款"
"settingsRows.termsDescription","Read our terms","Lee nuestros términos","阅读使用条款"
"settingsRows.walletConnect","WalletConnect","WalletConnect","WalletConnect"
"settingsRows.walletConnectDescription","Manage dApp connections","Gestiona conexiones de dApps","管理 dApp 连接"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","WizardConnect"
"settingsRows.wizardConnectDescription","Connect to token wizards","Conecta con asistentes de tokens","连接代币向导"
"terms.acceptance","1. Acceptance of Terms","1. Aceptación de los términos","1. 接受条款"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","Al acceder y usar OPTN Wallet (“la aplicación”), aceptas cumplir estos Términos de uso. Si no estás de acuerdo, no utilices la aplicación.","访问和使用 OPTN Wallet（“本应用”）即表示你同意遵守这些使用条款。如果不同意，请不要使用本应用。"
"terms.deviceSecurity","Ensuring the security of your device and the App.","Garantizar la seguridad de tu dispositivo y de la aplicación.","确保设备和应用的安全。"
"terms.modifications","6. Modifications","6. Modificaciones","6. 修改"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","Los desarrolladores pueden modificar, suspender o discontinuar la aplicación sin aviso previo y actualizar estos Términos. Tú eres responsable de revisarlos periódicamente.","开发者可以随时修改、暂停或停止本应用，恕不另行通知，也可以更新这些条款。你有责任定期查看。"
"terms.noLiability","4. No Liability","4. Ausencia de responsabilidad","4. 免责"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","Los desarrolladores no asumen responsabilidad por pérdidas, daños o accesos no autorizados derivados del uso de la aplicación, incluidos la pérdida de criptomonedas, filtraciones de datos o fallos del dispositivo. Usas la aplicación bajo tu propio riesgo.","开发者不对因使用本应用造成的损失、损害或未经授权的访问负责，包括加密货币损失、数据泄露或设备故障。使用本应用的风险由你自行承担。"
"terms.noWarranty","5. No Warranty","5. Ausencia de garantía","5. 无担保"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","La aplicación se proporciona “tal cual”, sin garantías expresas ni implícitas. Los desarrolladores no garantizan fiabilidad, exactitud, integridad, funcionamiento sin errores ni servicio ininterrumpido.","本应用按“现状”提供，不作任何明示或暗示的担保。开发者不保证可靠性、准确性、完整性、无错误运行或服务不中断。"
"terms.purpose","2. Purpose","2. Propósito","2. 用途"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","OPTN Wallet permite almacenar, enviar y recibir criptomonedas de forma segura. Tú eres responsable de la seguridad de tus claves privadas y activos.","OPTN Wallet 允许用户安全地存储、发送和接收加密货币。你有责任确保私钥和资产安全。"
"terms.responsibilities","3. User Responsibilities","3. Responsabilidades del usuario","3. 用户责任"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","OPTN Wallet gestiona criptomonedas reales. Tú eres el único responsable de:","OPTN Wallet 处理真实的加密货币。你对以下事项负全部责任："
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","El equipo de desarrollo no es responsable de pérdidas de activos ni accesos no autorizados derivados de no seguir estas prácticas.","因未遵循这些做法而造成的资产损失或未经授权的访问，开发团队不承担责任。"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","Proteger tus claves privadas y frases de recuperación.","保护私钥和恢复短语。"
"terms.verify","Verifying transaction details before confirming any actions.","Verificar los detalles de las transacciones antes de confirmar acciones.","在确认任何操作前核对交易详情。"
"token.activeMinting","Active Minting","Acuñación activa","活跃铸造"
"token.authHead","Auth Head","Cabeza de autorización","授权头"
"token.bcmr","BCMR","BCMR","BCMR"
"token.bcmrUnavailable","BCMR metadata unavailable","Metadatos BCMR no disponibles","BCMR 元数据不可用"
"token.category","Category","Categoría","类别"
"token.chainStatsError","Unable to load token chain statistics right now.","No se pueden cargar las estadísticas de cadena del token ahora.","当前无法加载代币链上统计信息。"
"token.decimals","Decimals","Decimales","小数位"
"token.id","Token ID","ID del token","代币 ID"
"token.loading","Loading token data…","Cargando datos del token…","正在加载代币数据…"
"token.no","No","No","否"
"token.symbol","Symbol","Símbolo","符号"
"token.totalNfts","Total NFTs","NFT totales","NFT 总数"
"token.totalSupply","Total Supply","Suministro total","总供应量"
"token.unavailable","Unavailable","No disponible","不可用"
"token.yes","Yes","Sí","是"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","La aplicación ejecuta su propio Tor; no necesitas Tor Browser","应用运行自带的 Tor，无需 Tor Browser"
"tor.autoDetect","Auto-detect (9050 / 9150)","Detectar automáticamente (9050 / 9150)","自动检测（9050 / 9150）"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","Inicializando Tor… {percent}%","正在引导 Tor… {percent}%"
"tor.check","Check Tor","Comprobar Tor","检查 Tor"
"tor.checking","Checking…","Comprobando…","检查中…"
"tor.desktopOnly","Desktop only","Solo escritorio","仅桌面端"
"tor.disable","Disable","Desactivar","禁用"
"tor.enable","Enable","Activar","启用"
"tor.externalOption","Or use a Tor you run yourself:","O usa un Tor que ejecutes tú:","或者使用你自己运行的 Tor："
"tor.foundOnPort","Tor found on port {port} ✓","Tor encontrado en el puerto {port} ✓","在端口 {port} 找到 Tor ✓"
"tor.integrated","Integrated Tor","Tor integrado","集成 Tor"
"tor.manualPort","Manual port","Puerto manual","手动端口"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","No se encontró Tor externo. Pulsa “Iniciar Tor integrado” arriba (recomendado), o inicia Tor Browser (9150) / un demonio Tor del sistema (9050) y pulsa “Comprobar Tor”. Sin Tor, CashFusion remoto está bloqueado.","未找到外部 Tor。请点击上面的“启动集成 Tor”（推荐），或启动 Tor Browser（9150）/系统 Tor 守护进程（9050）后点击“检查 Tor”。没有 Tor 时，远程 CashFusion 将被阻止。"
"tor.noProxy","No Tor proxy running ✗","No hay un proxy Tor en ejecución ✗","没有运行中的 Tor 代理 ✗"
"tor.remoteRequired","Required for remote CashFusion servers","Requerido para servidores CashFusion remotos","远程 CashFusion 服务器需要此功能"
"tor.runningOn","Running on port {port} ✓","Ejecutándose en el puerto {port} ✓","运行于端口 {port} ✓"
"tor.starting","Starting…","Iniciando…","启动中…"
"tor.startIntegrated","Start integrated Tor","Iniciar Tor integrado","启动集成 Tor"
"tor.stop","Stop","Detener","停止"
"tor.title","Tor","Tor","Tor"
"tor.usingManual","Using manual port {port}","Usando el puerto manual {port}","使用手动端口 {port}"
"txDetails.bch","BCH","BCH","BCH"
"txDetails.index","Index","Índice","索引"
"txDetails.locktime","Locktime","Tiempo de bloqueo","锁定时间"
"txDetails.txid","TXID","TXID","TXID"
"txDetails.version","Version","Versión","版本"
"txSummary.bch","BCH","BCH","BCH"
"txSummary.bchInput","bch input","entrada BCH","BCH 输入"
"txSummary.bytes","bytes","bytes","字节"
"txSummary.fee","Fee","Comisión","费用"
"txSummary.feeRate","Fee rate","Tasa de comisión","费率"
"txSummary.inputs","Inputs","Entradas","输入"
"txSummary.outputs","Outputs","Salidas","输出"
"txSummary.sats","sats","sats","sats"
"txSummary.token","token","token","代币"
"txSummary.tokenInput","token input","entrada de token","代币输入"
"txSummary.txSize","Tx size","Tamaño de tx","交易大小"
"utxo.amount","Amount","Importe","数量"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","Bitcoin Cash"
"utxo.ft","FT","FT","FT"
"utxo.height","Height","Altura","高度"
"utxo.loading","Loading UTXOs…","Cargando UTXO…","正在加载 UTXO…"
"utxo.name","Name","Nombre","名称"
"utxo.nft","NFT","NFT","NFT"
"utxo.none","No UTXOs to display.","No hay UTXO que mostrar.","没有可显示的 UTXO。"
"utxo.pos","Pos","Posición","位置"
"utxo.tokens","tokens","tokens","代币"
"utxo.txHash","Tx Hash","Hash de tx","交易哈希"
"walkthrough.label","Walkthrough","Guía","操作指南"
"watchOnly.accountXpub","Account xPub","xPub de cuenta","账户 xPub"
"watchOnly.back","Back to wallets","Volver a las billeteras","返回钱包"
"watchOnly.change","Change #{index}","Cambio #{index}","找零 #{index}"
"watchOnly.chipnet","Chipnet","Chipnet","Chipnet"
"watchOnly.comingNext","Coming next","Próximamente","即将推出"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","Consulta direcciones BCH públicas sin importar claves privadas.","无需导入私钥即可查看公开 BCH 地址。"
"watchOnly.mainnet","Mainnet","Mainnet","主网"
"watchOnly.multipleCosigners","Multiple cosigners","Múltiples firmantes","多个共同签名者"
"watchOnly.multisign","Multisign","Multifirma","多重签名"
"watchOnly.network","Network","Red","网络"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","Confirma que SeedCash exportó esta cuenta en m/44'/145'/account'. Un xPub BIP32 independiente no puede demostrar su propósito principal ni su ruta de moneda.","请确认 SeedCash 将此账户导出为 m/44'/145'/account'。独立的 BIP32 xPub 无法证明其父级用途或币种路径。"
"watchOnly.previewPublic","Preview public addresses","Vista previa de direcciones públicas","预览公开地址"
"watchOnly.previewTitle","Public address preview","Vista previa de dirección pública","公开地址预览"
"watchOnly.receive","Receive #{index}","Recepción #{index}","接收 #{index}"
"watchOnly.scanCamera","Scan (camera)","Escanear (cámara)","扫描（相机）"
"watchOnly.standard","Standard","Estándar","标准"
"watchOnly.title","Watch-Only Wallet Preview","Vista previa de billetera de solo lectura","观察钱包预览"
"watchOnly.type","Watch-only wallet type","Tipo de billetera de solo lectura","观察钱包类型"
"watchOnly.uploadQr","Upload QR","Subir QR","上传 QR"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","Solo vista previa pública: esta pantalla todavía no guarda una billetera de solo lectura ni crea, firma, importa o transmite transacciones PSBT.","仅公开预览：此页面目前不会保存观察钱包，也不会创建、签名、导入或广播 PSBT 交易。"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","Pega el xPub exportado por SeedCash","粘贴 SeedCash 导出的 xPub"
"wc.activeSessions","Active WalletConnect Sessions","Sesiones activas de WalletConnect","活动的 WalletConnect 会话"
"wc.address","Address","Dirección","地址"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","No se pudo aprobar la solicitud de sesión de {name}.","无法批准来自 {name} 的会话请求。"
"wc.approvalFailedTitle","WalletConnect approval failed","Falló la aprobación de WalletConnect","WalletConnect 批准失败"
"wc.approve","Approve","Aprobar","批准"
"wc.approvedBody","Connected to {name}.","Conectado a {name}.","已连接到 {name}。"
"wc.approvedTitle","WalletConnect session approved","Sesión de WalletConnect aprobada","WalletConnect 会话已批准"
"wc.approveSession","Approve Session","Aprobar sesión","批准会话"
"wc.broadcast","Broadcast","Transmisión","广播"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","Otra transacción saliente todavía se está sincronizando. Para evitar duplicados mientras estás sin conexión, esta billetera solo transmitirá una transacción sin resolver a la vez.","另一笔转出交易仍在同步。为避免离线时重复发送，钱包一次只会广播一笔未解决的交易。"
"wc.cancel","Cancel","Cancelar","取消"
"wc.close","Close","Cerrar","关闭"
"wc.connect","Connect","Conectar","连接"
"wc.connectionUri","Connection URI","URI de conexión","连接 URI"
"wc.dappName","DApp Name","Nombre de la dApp","DApp 名称"
"wc.disconnect","Disconnect","Desconectar","断开连接"
"wc.disconnectsOn","Disconnects On","Se desconecta el","断开时间"
"wc.domain","Domain","Dominio","域名"
"wc.enterUri","Enter WalletConnect URI","Introduce la URI de WalletConnect","输入 WalletConnect URI"
"wc.estimatedFee","Estimated Fee","Comisión estimada","预计费用"
"wc.fungibleAmount","Fungible Amount","Importe fungible","同质化代币数量"
"wc.index","Index","Índice","索引"
"wc.inputs","Inputs ({count})","Entradas ({count})","输入（{count}）"
"wc.invalidLockingBytecode","Invalid locking bytecode","Código de bloqueo no válido","无效的锁定字节码"
"wc.invalidQr","Not a valid WalletConnect URI.","No es una URI de WalletConnect válida.","不是有效的 WalletConnect URI。"
"wc.messageApprovedBody","Approved the WalletConnect message request.","Se aprobó la solicitud de mensaje de WalletConnect.","已批准 WalletConnect 消息请求。"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","No se pudo firmar la solicitud de mensaje de WalletConnect.","无法签名 WalletConnect 消息请求。"
"wc.messageFailedTitle","WalletConnect message failed","Falló el mensaje de WalletConnect","WalletConnect 消息失败"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","Se rechazó la solicitud de mensaje de WalletConnect.","已拒绝 WalletConnect 消息请求。"
"wc.messageRejectedTitle","WalletConnect message rejected","Mensaje de WalletConnect rechazado","WalletConnect 消息已拒绝"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","No se pudo rechazar la solicitud de mensaje de WalletConnect.","无法拒绝 WalletConnect 消息请求。"
"wc.messageSignedBody","Approved request from {name}.","Solicitud aprobada de {name}.","已批准来自 {name} 的请求。"
"wc.messageSignedTitle","WalletConnect message signed","Mensaje de WalletConnect firmado","WalletConnect 消息已签名"
"wc.messageToSign","Message to Sign","Mensaje que se firmará","待签名消息"
"wc.nftCapability","NFT Capability","Capacidad del NFT","NFT 能力"
"wc.nftCommitment","NFT Commitment","Compromiso del NFT","NFT 承诺值"
"wc.no","No","No","否"
"wc.noActiveSessions","No active WalletConnect sessions yet.","Aún no hay sesiones activas de WalletConnect.","暂无活动的 WalletConnect 会话。"
"wc.noQr","No QR code detected. Try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"wc.noSessions","No active sessions.","No hay sesiones activas.","没有活动会话。"
"wc.opReturnOutput","OP_RETURN Output","Salida OP_RETURN","OP_RETURN 输出"
"wc.outputs","Outputs ({count})","Salidas ({count})","输出（{count}）"
"wc.pairingStarted","WalletConnect pairing started.","Se inició la conexión de WalletConnect.","WalletConnect 配对已开始。"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","Conexión de WalletConnect correcta mediante QR.","通过二维码成功完成 WalletConnect 配对。"
"wc.prompt","Prompt","Solicitud","提示"
"wc.reject","Reject","Rechazar","拒绝"
"wc.rejectedBody","Rejected the session request from {name}.","Se rechazó la solicitud de sesión de {name}.","已拒绝来自 {name} 的会话请求。"
"wc.rejectedTitle","WalletConnect session rejected","Sesión de WalletConnect rechazada","WalletConnect 会话已拒绝"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","No se pudo rechazar la solicitud de sesión de {name}.","无法拒绝来自 {name} 的会话请求。"
"wc.rejectionFailedTitle","WalletConnect rejection failed","Falló el rechazo de WalletConnect","WalletConnect 拒绝失败"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","Se envió la respuesta de rechazo a la dApp.","已将拒绝响应发送给 DApp。"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","La dApp se desconectó antes de poder entregar la respuesta de rechazo.","DApp 在拒绝响应送达前断开了连接。"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","La solicitud de la dApp expiró antes de poder completarse.","dApp 请求在完成前已过期。"
"wc.requestExpiredTitle","WalletConnect request expired","La solicitud de WalletConnect expiró","WalletConnect 请求已过期"
"wc.scanFailed","WalletConnect scan failed.","Falló el escaneo de WalletConnect.","WalletConnect 扫描失败。"
"wc.scanQr","Scan QR","Escanear QR","扫描二维码"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","Una sesión de WalletConnect se desconectó de forma remota.","WalletConnect 会话已被远程断开。"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","Desconectado de {name}.","已与 {name} 断开连接。"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","Sesión de WalletConnect desconectada","WalletConnect 会话已断开"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","La solicitud de sesión de WalletConnect expiró antes de ser aprobada.","WalletConnect 会话请求在批准前已超时。"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","La solicitud de sesión de WalletConnect expiró","WalletConnect 会话请求已过期"
"wc.sessionRequestFrom","Session request from {name}.","Solicitud de sesión de {name}.","来自 {name} 的会话请求。"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","Una dApp solicitó una sesión de WalletConnect.","某个 dApp 请求建立 WalletConnect 会话。"
"wc.sessionRequestTitle","WalletConnect session request","Solicitud de sesión de WalletConnect","WalletConnect 会话请求"
"wc.settings","Settings","Configuración","设置"
"wc.sign","Sign","Firmar","签名"
"wc.signMessageRequest","Sign Message Request","Solicitud para firmar mensaje","签名消息请求"
"wc.signTransactionRequest","Sign Transaction Request","Solicitud para firmar transacción","签名交易请求"
"wc.tokenCategory","Token Category","Categoría del token","代币类别"
"wc.totalInput","Total Input","Entrada total","输入总额"
"wc.totalOutput","Total Output","Salida total","输出总额"
"wc.transactionApprovedTitle","WalletConnect transaction approved","Transacción de WalletConnect aprobada","WalletConnect 交易已批准"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","No se pudo firmar la solicitud de transacción de WalletConnect: {message}","无法签名 WalletConnect 交易请求：{message}"
"wc.transactionFailedTitle","WalletConnect transaction failed","Falló la transacción de WalletConnect","WalletConnect 交易失败"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","Transacción de WalletConnect rechazada","WalletConnect 交易已拒绝"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","No se pudo rechazar la solicitud de transacción de WalletConnect: {message}","无法拒绝 WalletConnect 交易请求：{message}"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","Se envió la respuesta de la transacción de WalletConnect.","已发送 WalletConnect 交易响应。"
"wc.transactionSentBody","Sent the transaction response to {name}.","Se envió la respuesta de la transacción a {name}.","已将交易响应发送给 {name}。"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","La dApp se desconectó antes de poder entregar la respuesta de la transacción.","DApp 在交易响应送达前断开了连接。"
"wc.txid","TXID","TXID","TXID"
"wc.unknownDapp","Unknown dApp","dApp desconocida","未知 DApp"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","Esta solicitud usa una representación de transacción no compatible con la integración actual de OPTN Wallet.","此请求使用了当前 OPTN Wallet 集成不支持的交易表示形式。"
"wc.validUri","Please provide a valid WalletConnect URI.","Introduce una URI de WalletConnect válida.","请输入有效的 WalletConnect URI。"
"wc.waitingForSync","Waiting for sync","Esperando sincronización","等待同步"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","Espera a que se sincronice la transacción saliente anterior","请等待上一笔转出交易完成同步"
"wc.working","Working…","Trabajando…","处理中…"
"wc.yes","Yes","Sí","是"
"wizard.activeSessions","Active WizardConnect Sessions","Sesiones activas de WizardConnect","活动的 WizardConnect 会话"
"wizard.address","Address","Dirección","地址"
"wizard.approve","Approve WizardConnect","Aprobar WizardConnect","批准 WizardConnect"
"wizard.approved","WizardConnect transaction approved and sent.","Transacción de WizardConnect aprobada y enviada.","WizardConnect 交易已批准并发送。"
"wizard.approveFailed","WizardConnect transaction failed: {message}","Falló la transacción de WizardConnect: {message}","WizardConnect 交易失败：{message}"
"wizard.broadcast","Broadcast","Transmisión","广播"
"wizard.cancel","Cancel","Cancelar","取消"
"wizard.close","Close","Cerrar","关闭"
"wizard.connect","Connect","Conectar","连接"
"wizard.connectedOn","Connected On","Conectado el","连接时间"
"wizard.connecting","Connecting…","Conectando…","连接中…"
"wizard.connectionUri","Connection URI","URI de conexión","连接 URI"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","¿Conectar esta billetera a la siguiente solicitud de WizardConnect?","要将此钱包连接到以下 WizardConnect 请求吗？"
"wizard.dapp","DApp","dApp","DApp"
"wizard.disconnect","Disconnect","Desconectar","断开连接"
"wizard.enterUri","Enter WizardConnect URI","Introduce la URI de WizardConnect","输入 WizardConnect URI"
"wizard.errorPrefix","Error: {message}","Error: {message}","错误：{message}"
"wizard.estimatedFee","Estimated Fee","Comisión estimada","预计费用"
"wizard.fungibleAmount","Fungible Amount","Importe fungible","同质化代币数量"
"wizard.index","Index","Índice","索引"
"wizard.invalidQr","Not a valid WizardConnect QR code.","No es un código QR de WizardConnect válido.","不是有效的 WizardConnect 二维码。"
"wizard.no","No","No","否"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","Aún no hay sesiones activas de WizardConnect.","暂无活动的 WizardConnect 会话。"
"wizard.noQr","No QR code detected. Try again.","No se detectó ningún código QR. Inténtalo de nuevo.","未检测到二维码，请重试。"
"wizard.noWallet","No active wallet is available for WizardConnect.","No hay una billetera activa disponible para WizardConnect.","没有可用于 WizardConnect 的活动钱包。"
"wizard.opReturnOutput","OP_RETURN Output","Salida OP_RETURN","OP_RETURN 输出"
"wizard.pairingStarted","WizardConnect pairing started.","Se inició la conexión de WizardConnect.","WizardConnect 配对已开始。"
"wizard.prompt","Prompt","Solicitud","提示"
"wizard.rejected","WizardConnect transaction rejected.","Transacción de WizardConnect rechazada.","WizardConnect 交易已拒绝。"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","Falló el rechazo de WizardConnect: {message}","WizardConnect 拒绝失败：{message}"
"wizard.scanFailed","WizardConnect scan failed.","Falló el escaneo de WizardConnect.","WizardConnect 扫描失败。"
