"key","English (en)","Chinese (Traditional) (zh-TW)","Status"
"settingsAppLock.biometricSetupFailed","Biometric setup failed: {message}","生物辨識設定失敗：{message}","translated"
"settingsAppLock.biometricUnlock","Biometric unlock","生物辨識解鎖","translated"
"settingsAppLock.cancel","Cancel","取消","translated"
"settingsAppLock.changePassword","Change Password","變更密碼","translated"
"settingsAppLock.confirm","Confirm","確認","translated"
"settingsAppLock.confirmNewPassword","Confirm new password","確認新密碼","translated"
"settingsAppLock.currentPassword","Current password","目前密碼","translated"
"settingsAppLock.currentPasswordIncorrect","Current password is incorrect.","目前密碼不正確。","translated"
"settingsAppLock.disabled","Disabled","已停用","translated"
"settingsAppLock.enabled","Enabled","已啟用","translated"
"settingsAppLock.enabling","Enabling…","啟用中…","translated"
"settingsAppLock.encryption","Encryption","加密","translated"
"settingsAppLock.encryptionDescription","Your wallet is encrypted with a password-derived key (PBKDF2 · 600k iterations · AES-256-GCM). The key is never stored — it is derived in memory each time you unlock.","您的錢包使用密碼衍生金鑰加密（PBKDF2 · 600,000 次迭代 · AES-256-GCM）。金鑰不會儲存；每次解鎖時都會在記憶體中衍生。","translated"
"settingsAppLock.lockNow","Lock Now","立即鎖定","translated"
"settingsAppLock.minute","1 minute","1 分鐘","stable-term"
"settingsAppLock.minutes","{count} minutes","{count} 分鐘","stable-term"
"settingsAppLock.never","Never","永不","translated"
"settingsAppLock.newPassword","New password","新密碼","translated"
"settingsAppLock.noWalletOpen","No wallet is open.","目前沒有開啟錢包。","translated"
"settingsAppLock.passwordChanged","Password changed successfully.","密碼已成功變更。","translated"
"settingsAppLock.passwordChangeFailed","Password change failed. Please try again.","變更密碼失敗。請再試一次。","translated"
"settingsAppLock.passwordMismatch","New passwords do not match.","新密碼不一致。","translated"
"settingsAppLock.updating","Updating…","更新中…","translated"
"settingsDerivation.activePath","Active BIP44 account path","作用中的 BIP44 帳戶路徑","translated"
"settingsDerivation.alreadyActive","This derivation path is already active.","此衍生路徑已作用中。","translated"
"settingsDerivation.changeResync","Change and resync","變更並重新同步","translated"
"settingsDerivation.completed","Derivation path changed and wallet resync completed.","衍生路徑已變更，錢包同步完成。","translated"
"settingsDerivation.confirm","Changing the derivation path clears the current address, history, and UTXO records. The wallet will then regenerate and resync only the new path. Continue?","變更衍生路徑會清除目前地址、歷史與 UTXO 記錄。錢包之後只會重新產生並同步新路徑。要繼續嗎？","translated"
"settingsDerivation.currentMode","Current mode: {mode}.","目前模式：{mode}。","translated"
"settingsDerivation.custom","custom","自訂","translated"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN 一次支援一個作用中的 BIP44 帳戶路徑。重新設定會移除舊的衍生記錄，並重新探索與同步接收／找零地址。","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","錢包重新設定失敗。","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","衍生路徑無效。","translated"
"settingsDerivation.networkDefault","network default","網路預設值","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","重新設定中…","translated"
"settingsDerivation.useDefault","Use network default","使用網路預設值","translated"
"settingsNetwork.active","Active","使用中","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","供即將推出的 CHIPs 使用的 BCH 測試網路 — 僅限測試資金","translated"
"settingsNetwork.comingSoon","Coming soon","即將推出","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","切換網路會清除目前網路記錄、衍生網路路徑，並重新同步接收與找零地址。自訂路徑會保留。","translated"
"settingsNetwork.mainnet","Mainnet","Mainnet","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","即時 BCH 網路 — 真實資金","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","重新載入並同步錢包","translated"
"settingsNetwork.reloading","Reloading wallet…","正在重新載入錢包…","translated"
"settingsNetwork.switching","Switching…","切換中…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","附加元件","translated"
"settingsPanels.appLock","App Lock","應用程式鎖定","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","主控台","stable-term"
"settingsPanels.contract","Contract Info","合約資訊","translated"
"settingsPanels.derivation","Derivation Path","衍生路徑","translated"
"settingsPanels.experimental","Experimental Features","實驗性功能","translated"
"settingsPanels.faucet","Chipnet Faucet","Chipnet Faucet","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr 與聊天","translated"
"settingsPanels.server","Server","伺服器","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","關於 OPTN","translated"
"settingsRows.aboutDescription","Version info","版本資訊","translated"
"settingsRows.addons","Addons","附加元件","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","安裝並管理第三方附加元件","translated"
"settingsRows.appLock","App Lock","應用程式鎖定","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","自動鎖定 · 變更密碼","translated"
"settingsRows.console","Console","主控台","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","應用程式記錄 · Electrum RPC","translated"
"settingsRows.contact","Contact Us","聯絡我們","translated"
"settingsRows.contactDescription","Get help and support","取得說明與支援","translated"
"settingsRows.contractInfo","Contract Info","合約資訊","translated"
"settingsRows.contractInfoDescription","View contract details","檢視合約詳細資料","translated"
"settingsRows.derivation","Derivation Path","衍生路徑","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","自訂並重新同步目前的 BIP44 路徑","translated"
"settingsRows.experimental","Experimental Features","實驗性功能","translated"
"settingsRows.experimentalDescription","RPA · Quantumroot","RPA · Quantumroot","stable-term"
"settingsRows.faucet","Chipnet Faucet","Chipnet Faucet","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","取得 Chipnet 測試 BCH","translated"
"settingsRows.language","Language","語言","translated"
"settingsRows.languageDescription","Choose the wallet interface language","選擇介面語言","translated"
"settingsRows.network","Network","網路","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","在 Mainnet 與 Chipnet 間切換","translated"
"settingsRows.nostr","Nostr & Chat","Nostr 與聊天","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","私密訊息 · 身分 · Relay 集合","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","待處理交易鎖定","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","檢視送出交易鎖定","translated"
"settingsRows.recovery","Recovery Phrase","復原片語","translated"
"settingsRows.recoveryDescription","Back up your wallet","備份錢包","translated"
"settingsRows.server","Servers","伺服器","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · 區塊瀏覽器 · 交易費用","translated"
"settingsRows.terms","Terms of Use","使用條款","translated"
"settingsRows.termsDescription","Read our terms","閱讀我們的條款","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","管理 dApp 連線","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","連線至 token wizard","translated"
"terms.acceptance","1. Acceptance of Terms","1. 接受條款","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","存取與使用 OPTN Wallet 應用程式（「本應用程式」）即表示您同意遵守並受這些使用條款約束。若不同意，請勿使用本應用程式。","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","確保裝置與應用程式安全。","translated"
"terms.modifications","6. Modifications","6. 修改","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","開發者可在不事先通知的情況下修改、暫停或終止本應用程式，也可更新這些條款。您必須定期查看條款。","translated"
"terms.noLiability","4. No Liability","4. 不負責任","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","開發者不對使用本應用程式造成的損失、損害或未授權存取負責，包括加密貨幣損失、資料外洩或裝置故障。您須自行承擔使用風險。","translated"
"terms.noWarranty","5. No Warranty","5. 不提供保證","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","本應用程式按「現狀」提供，不提供明示或默示保證。開發者不保證可靠性、準確性、完整性、無錯誤運作或不中斷服務。","translated"
"terms.purpose","2. Purpose","2. 目的","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","OPTN Wallet 應用程式讓使用者安全地儲存、傳送與接收加密貨幣。您必須負責私密金鑰與資產的安全。","translated"
"terms.responsibilities","3. User Responsibilities","3. 使用者責任","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","OPTN Wallet 應用程式處理真實加密貨幣。您對以下事項負完全責任：","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","若未遵循這些做法而導致資產損失或未授權存取，開發團隊不負責任。","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","保護您的私密金鑰與復原片語。","translated"
"terms.verify","Verifying transaction details before confirming any actions.","確認任何操作前驗證交易詳細資料。","translated"
"token.activeMinting","Active Minting","啟用鑄造","translated"
"token.authHead","Auth Head","授權頭","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","BCMR 中繼資料無法使用","translated"
"token.category","Category","類別","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","目前無法載入 token 鏈上統計資料。","translated"
"token.decimals","Decimals","小數位數","translated"
"token.id","Token ID","代幣 ID","translated"
"token.loading","Loading token data…","正在載入 token 資料…","translated"
"token.no","No","否","translated"
"token.symbol","Symbol","符號","translated"
"token.totalNfts","Total NFTs","NFT 總數","translated"
"token.totalSupply","Total Supply","總供應量","translated"
"token.unavailable","Unavailable","無法使用","translated"
"token.yes","Yes","是","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","應用程式執行自己的 Tor，不需要 Tor Browser","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","自動偵測（9050 / 9150）","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","正在建立 Tor… {percent}%","translated"
"tor.check","Check Tor","檢查 Tor","translated"
"tor.checking","Checking…","檢查中…","translated"
"tor.desktopOnly","Desktop only","僅限桌面","translated"
"tor.disable","Disable","停用","translated"
"tor.enable","Enable","啟用","translated"
"tor.externalOption","Or use a Tor you run yourself:","或使用您自行執行的 Tor：","translated"
"tor.foundOnPort","Tor found on port {port} ✓","在連接埠 {port} 找到 Tor ✓","translated"
"tor.integrated","Integrated Tor","整合 Tor","translated"
"tor.manualPort","Manual port","手動連接埠","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","找不到外部 Tor。請啟動上方的整合 Tor（建議），或啟動 Tor Browser（9150）／系統 Tor daemon（9050），再按「檢查 Tor」。沒有 Tor 時會封鎖遠端 CashFusion。","translated"
"tor.noProxy","No Tor proxy running ✗","沒有執行中的 Tor proxy ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","遠端 CashFusion 伺服器必須使用","translated"
"tor.runningOn","Running on port {port} ✓","執行於連接埠 {port} ✓","translated"
"tor.starting","Starting…","啟動中…","translated"
"tor.startIntegrated","Start integrated Tor","啟動整合 Tor","translated"
"tor.stop","Stop","停止","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","使用手動連接埠 {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","索引","stable-term"
"txDetails.locktime","Locktime","鎖定時間","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","版本","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","BCH 輸入","translated"
"txSummary.bytes","bytes","位元組","stable-term"
"txSummary.fee","Fee","費用","translated"
"txSummary.feeRate","Fee rate","費率","translated"
"txSummary.inputs","Inputs","輸入","translated"
"txSummary.outputs","Outputs","輸出","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","代幣","stable-term"
"txSummary.tokenInput","token input","token 輸入","translated"
"txSummary.txSize","Tx size","交易大小","translated"
"utxo.amount","Amount","金額","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","高度","translated"
"utxo.loading","Loading UTXOs…","正在載入 UTXO…","translated"
"utxo.name","Name","名稱","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","沒有可顯示的 UTXO。","translated"
"utxo.pos","Pos","位置","translated"
"utxo.tokens","tokens","代幣","stable-term"
"utxo.txHash","Tx Hash","交易雜湊","translated"
"walkthrough.label","Walkthrough","逐步導覽","translated"
"watchOnly.accountXpub","Account xPub","帳戶 xPub","translated"
"watchOnly.back","Back to wallets","返回錢包","translated"
"watchOnly.change","Change #{index}","找零 #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","即將推出","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","不匯入任何私密金鑰即可檢視公開 BCH 地址。","translated"
"watchOnly.mainnet","Mainnet","Mainnet","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","多位共同簽署者","translated"
"watchOnly.multisign","Multisign","多重簽署","translated"
"watchOnly.network","Network","網路","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","確認 SeedCash 將此帳戶匯出至 m/44’/145’/account’。獨立的 BIP32 xPub 無法證明父目的或 coin 路徑。","translated"
"watchOnly.previewPublic","Preview public addresses","預覽公開地址","translated"
"watchOnly.previewTitle","Public address preview","公開地址預覽","translated"
"watchOnly.receive","Receive #{index}","接收 #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","掃描（相機）","translated"
"watchOnly.standard","Standard","標準","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","唯讀錢包預覽","translated"
"watchOnly.type","Watch-only wallet type","唯讀錢包類型","translated"
"watchOnly.uploadQr","Upload QR","上傳 QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","僅限公開預覽：此畫面尚未儲存唯讀錢包，也不會建立、簽署、匯入或廣播 PSBT 交易。","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","貼上 SeedCash 匯出的 xPub","translated"
"wc.activeSessions","Active WalletConnect Sessions","作用中的 WalletConnect 工作階段","translated"
"wc.address","Address","地址","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","無法核准來自 {name} 的工作階段請求。","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","WalletConnect 核准失敗","translated"
"wc.approve","Approve","核准","translated"
"wc.approvedBody","Connected to {name}.","已連線至 {name}。","translated"
"wc.approvedTitle","WalletConnect session approved","WalletConnect 工作階段已核准","translated"
"wc.approveSession","Approve Session","核准工作階段","translated"
"wc.broadcast","Broadcast","廣播","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","另一筆傳出交易仍在同步。為避免離線時重複，錢包一次只會廣播一筆未解決的交易。","translated"
"wc.cancel","Cancel","取消","translated"
"wc.close","Close","關閉","translated"
"wc.connect","Connect","連線","translated"
"wc.connectionUri","Connection URI","連線 URI","translated"
"wc.dappName","DApp Name","dApp 名稱","translated"
"wc.disconnect","Disconnect","中斷連線","translated"
"wc.disconnectsOn","Disconnects On","中斷時間","translated"
"wc.domain","Domain","網域","translated"
"wc.enterUri","Enter WalletConnect URI","輸入 WalletConnect URI","translated"
"wc.estimatedFee","Estimated Fee","預估費用","translated"
"wc.fungibleAmount","Fungible Amount","可替代數量","translated"
"wc.index","Index","索引","stable-term"
"wc.inputs","Inputs ({count})","輸入（{count}）","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","無效的鎖定 bytecode","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","不是有效的 WalletConnect URI。","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","WalletConnect 訊息請求已核准。","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","無法簽署 WalletConnect 訊息請求。","translated"
"wc.messageFailedTitle","WalletConnect message failed","WalletConnect 訊息失敗","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","已拒絕 WalletConnect 訊息請求。","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","WalletConnect 訊息已拒絕","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","無法拒絕 WalletConnect 訊息請求。","translated"
"wc.messageSignedBody","Approved request from {name}.","已核准來自 {name} 的請求。","translated"
"wc.messageSignedTitle","WalletConnect message signed","WalletConnect 訊息已簽署","translated"
"wc.messageToSign","Message to Sign","要簽署的訊息","translated"
"wc.nftCapability","NFT Capability","NFT 能力","translated"
"wc.nftCommitment","NFT Commitment","NFT 承諾","translated"
"wc.no","No","否","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","尚無作用中的 WalletConnect 工作階段。","translated"
"wc.noQr","No QR code detected. Try again.","未偵測到 QR 碼。請再試一次。","translated"
"wc.noSessions","No active sessions.","沒有作用中的工作階段。","translated"
"wc.opReturnOutput","OP_RETURN Output","OP_RETURN 輸出","translated"
"wc.outputs","Outputs ({count})","輸出（{count}）","translated"
"wc.pairingStarted","WalletConnect pairing started.","WalletConnect 配對已開始。","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","已透過 QR 完成 WalletConnect 配對。","translated"
"wc.prompt","Prompt","請求","translated"
"wc.reject","Reject","拒絕","translated"
"wc.rejectedBody","Rejected the session request from {name}.","已拒絕來自 {name} 的工作階段請求。","translated"
"wc.rejectedTitle","WalletConnect session rejected","WalletConnect 工作階段已拒絕","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","無法拒絕來自 {name} 的工作階段請求。","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","WalletConnect 拒絕失敗","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","已將拒絕回應傳送給 dApp。","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","dApp 在拒絕回應送達前已中斷連線。","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","dApp 請求在完成前已過期。","translated"
"wc.requestExpiredTitle","WalletConnect request expired","WalletConnect 請求已過期","translated"
"wc.scanFailed","WalletConnect scan failed.","WalletConnect 掃描失敗。","translated"
"wc.scanQr","Scan QR","掃描 QR","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","一個 WalletConnect 工作階段已由遠端中斷。","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","已與 {name} 中斷連線。","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","WalletConnect 工作階段已中斷","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","WalletConnect 工作階段請求在核准前逾時。","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","WalletConnect 工作階段請求已過期","translated"
"wc.sessionRequestFrom","Session request from {name}.","來自 {name} 的工作階段請求。","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","dApp 請求 WalletConnect 工作階段。","translated"
"wc.sessionRequestTitle","WalletConnect session request","WalletConnect 工作階段請求","translated"
"wc.settings","Settings","設定","translated"
"wc.sign","Sign","簽署","translated"
"wc.signMessageRequest","Sign Message Request","簽署訊息請求","translated"
"wc.signTransactionRequest","Sign Transaction Request","簽署交易請求","translated"
"wc.tokenCategory","Token Category","代幣類別","translated"
"wc.totalInput","Total Input","輸入總計","translated"
"wc.totalOutput","Total Output","輸出總計","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","WalletConnect 交易已核准","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","無法簽署 WalletConnect 交易請求：{message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","WalletConnect 交易失敗","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","WalletConnect 交易已拒絕","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","無法拒絕 WalletConnect 交易請求：{message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","已傳送 WalletConnect 交易回應。","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","已將交易回應傳送給 {name}。","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","dApp 在交易回應送達前已中斷連線。","translated"
"wc.txid","TXID","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","未知 dApp","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","此請求使用目前 OPTN Wallet 整合不支援的交易表示方式。","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","請提供有效的 WalletConnect URI。","translated"
"wc.waitingForSync","Waiting for sync","等待同步","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","請先等待上一筆傳出交易同步","translated"
"wc.working","Working…","處理中…","translated"
"wc.yes","Yes","是","translated"
"wizard.activeSessions","Active WizardConnect Sessions","作用中的 WizardConnect 工作階段","translated"
"wizard.address","Address","地址","translated"
"wizard.approve","Approve WizardConnect","核准 WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","WizardConnect 交易已核准並傳送。","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","WizardConnect 交易失敗：{message}","translated"
"wizard.broadcast","Broadcast","廣播","translated"
"wizard.cancel","Cancel","取消","translated"
"wizard.close","Close","關閉","translated"
"wizard.connect","Connect","連線","translated"
"wizard.connectedOn","Connected On","連線時間","translated"
"wizard.connecting","Connecting…","連線中…","translated"
"wizard.connectionUri","Connection URI","連線 URI","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","要將此錢包連線至以下 WizardConnect 請求嗎？","translated"
"wizard.dapp","DApp","dApp","stable-term"
"wizard.disconnect","Disconnect","中斷連線","translated"
"wizard.enterUri","Enter WizardConnect URI","輸入 WizardConnect URI","translated"
"wizard.errorPrefix","Error: {message}","錯誤：{message}","translated"
"wizard.estimatedFee","Estimated Fee","預估費用","translated"
"wizard.fungibleAmount","Fungible Amount","可替代數量","translated"
"wizard.index","Index","索引","stable-term"
"wizard.invalidQr","Not a valid WizardConnect QR code.","不是有效的 WizardConnect QR。","translated"
"wizard.no","No","否","translated"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","尚無作用中的 WizardConnect 工作階段。","translated"
"wizard.noQr","No QR code detected. Try again.","未偵測到 QR 碼。請再試一次。","translated"
"wizard.noWallet","No active wallet is available for WizardConnect.","沒有可供 WizardConnect 使用的作用中錢包。","translated"
"wizard.opReturnOutput","OP_RETURN Output","OP_RETURN 輸出","translated"
"wizard.pairingStarted","WizardConnect pairing started.","WizardConnect 配對已開始。","translated"
"wizard.prompt","Prompt","請求","translated"
"wizard.rejected","WizardConnect transaction rejected.","WizardConnect 交易已拒絕。","translated"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","WizardConnect 拒絕失敗：{message}","translated"
"wizard.scanFailed","WizardConnect scan failed.","WizardConnect 掃描失敗。","translated"
"wizard.sessionDisconnectedOrExpired","A WizardConnect session disconnected or expired on the dApp side.","WizardConnect 工作階段已在 dApp 端中斷或過期。","translated"
"wizard.settings","Settings","設定","translated"
"wizard.sign","Sign","簽署","translated"
"wizard.signRequest","WizardConnect Sign Request","WizardConnect 簽署請求","translated"
"wizard.status","Status","狀態","stable-term"
"wizard.tokenCategory","Token Category","代幣類別","translated"
"wizard.totalInput","Total Input","輸入總計","translated"
"wizard.totalOutput","Total Output","輸出總計","translated"
"wizard.txid","TXID","TXID","stable-term"
"wizard.unknownDapp","Unknown dApp","未知 dApp","translated"
"wizard.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","此請求使用目前 OPTN Wallet 整合不支援的交易表示方式。","translated"
"wizard.validUri","Please provide a valid WizardConnect URI.","請提供有效的 WizardConnect URI。","translated"
"wizard.yes","Yes","是","translated"
