"key","English (en)","Japanese (ja)","Status"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 は 2 人の仲裁者に対応します。1 人の承認、または 2 人の共同承認で資金を解放できます。","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","使用条件：1 人または 2 人の仲裁者が有効な署名を提供し、全額が買い手または売り手に送られます。","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","安全性：仲裁者が承認するまで資金をロックし、詐欺や紛争の防止に役立ちます。","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","使用条件：仲裁者が有効な署名を提供し、全額が買い手または売り手の公開鍵ハッシュアドレスに送られます。","translated"
"contract.howToUse","How to Use Covenant Contracts","Covenant コントラクトの使い方","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","「コントラクト」を開き、種類を選び、条件を設定してデプロイします。コントラクト UTXO を使用するには、上記の使用条件を満たしてください。詳しい手順と例はアプリのドキュメントにあります。","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","OPTN Wallet の covenant コントラクトは、デジタル資産の支出ルールを強制するスマートコントラクトです。各コントラクトは UTXO に資金をロックし、あらかじめ定めた条件を満たした場合のみ使用できます。","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault（マルチシグ保管庫）","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault は複数の署名とパスワードを必要とする共有または長期保管用の保管庫を作成します。最低残高とタイムロックを適用します。","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","使用条件：有効な署名とパスワードで検証したデータ署名を提供し、少なくとも 4000 satoshis を維持するか、タイムロック後に有効な署名を使用します。","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","用途：厳格なアクセス制御が必要な共有所有や長期保管に適しています。","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","複数の仲裁者：2 人の仲裁者が資金の解放を承認できます。","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","マルチシグ：複数の承認済み当事者の署名が必要です。","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH（Pay-to-Public-Key-Hash）","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH は、指定された公開鍵ハッシュの所有者による署名を要求して UTXO を保護する標準 Bitcoin スクリプトです。","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","安全性：デジタル資産を保護する実績のある信頼性の高い方法です。","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","使用条件：コントラクト内の公開鍵ハッシュに一致する有効な署名を提供します。","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","パスワード保護：ユーザーが設定したパスワードで秘密鍵を暗号化します。","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","シンプル：使いやすく、ほとんどの Bitcoin ウォレットと互換性があります。","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","時間制御：受取人が資金を請求できる期限を設定します。","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout は期限付きの条件付き送金を可能にします。受取人は期限前に資金を請求でき、期限後は送信者が取り戻せます。","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","使用条件：受取人が期限前に署名し、期限後は送信者が有効な署名で取り戻せます。","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","用途：サブスクリプション、条件付き支払い、エスクローに似た場面に便利です。","translated"
"contractPopup.back","Back","戻る","translated"
"contractPopup.chooseFunction","Select a function","関数を選択","translated"
"contractPopup.enterData","Please enter data to generate the message.","メッセージを生成するデータを入力してください。","translated"
