"key","English (en)","Vietnamese (vi)","Status"
"console.noEntries","No log entries yet.","Chưa có mục nhật ký nào.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","Gửi","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","Nhập: phương_thức tham_số1 tham_số2 — ví dụ server.version hoặc blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","Trọng tài: bên đáng tin cậy cho phép giải ngân.","translated"
"contract.available","Available Contracts","Hợp đồng có sẵn","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (khóa riêng được bảo vệ bằng mật khẩu)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","Hợp đồng BIP38 bảo vệ khóa riêng bằng mật khẩu. UTXO cần đúng mật khẩu và chữ ký hợp lệ.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Điều kiện chi: cung cấp chữ ký chủ sở hữu hợp lệ và chữ ký dữ liệu xác minh mật khẩu.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Trường hợp dùng: phù hợp để bảo vệ khóa riêng khỏi trộm cắp hoặc truy cập trái phép, nhất là khi lưu trữ dài hạn.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Tin cậy nâng cao: hữu ích cho giao dịch cần nhiều bên đáng tin cậy.","translated"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","Hợp đồng Escrow hỗ trợ giao dịch an toàn giữa người mua và người bán với trọng tài đáng tin cậy. Tiền chỉ được giải ngân khi trọng tài chấp thuận.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (escrow nhiều bên)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 mở rộng escrow với hai trọng tài. Tiền có thể được giải ngân khi một trọng tài hoặc cả hai cùng chấp thuận.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","Điều kiện chi: một hoặc cả hai trọng tài cung cấp chữ ký hợp lệ, và toàn bộ số tiền chuyển đến người mua hoặc người bán.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","Bảo mật: tiền vẫn bị khóa đến khi trọng tài chấp thuận, giúp ngăn gian lận hoặc tranh chấp.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","Điều kiện chi: trọng tài cung cấp chữ ký hợp lệ và toàn bộ số tiền chuyển đến địa chỉ băm khóa công khai của người mua hoặc người bán.","translated"
"contract.howToUse","How to Use Covenant Contracts","Cách dùng hợp đồng covenant","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","Mở mục Hợp đồng, chọn loại hợp đồng, cấu hình điều kiện rồi triển khai. Để chi từ UTXO của hợp đồng, hãy đáp ứng các điều kiện chi tương ứng ở trên. Hướng dẫn chi tiết và ví dụ có trong tài liệu ứng dụng.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","Hợp đồng covenant trong OPTN Wallet là hợp đồng thông minh áp đặt quy tắc chi tiêu tài sản số. Mỗi hợp đồng khóa tiền trong UTXO và chỉ có thể chi khi đáp ứng các điều kiện định trước.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (vault đa chữ ký)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault tạo vault dùng chung hoặc dài hạn, yêu cầu nhiều chữ ký và mật khẩu. Vault áp dụng số dư tối thiểu và khóa theo thời gian.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","Điều kiện chi: cung cấp chữ ký hợp lệ và chữ ký dữ liệu xác minh bằng mật khẩu, duy trì ít nhất 4000 satoshi, hoặc dùng chữ ký hợp lệ sau khi hết thời gian khóa.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","Trường hợp dùng: phù hợp với sở hữu chung hoặc lưu trữ dài hạn có kiểm soát truy cập nghiêm ngặt.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","Nhiều trọng tài: hai trọng tài có thể cho phép giải ngân.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","Đa chữ ký: yêu cầu chữ ký từ nhiều bên được ủy quyền.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (Pay-to-Public-Key-Hash)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH là script Bitcoin tiêu chuẩn bảo vệ UTXO bằng cách yêu cầu chữ ký của chủ hash khóa công khai được chỉ định.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","Bảo mật: phương pháp đã được kiểm chứng và đáng tin cậy để bảo vệ tài sản số.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","Điều kiện chi: cung cấp chữ ký hợp lệ khớp với hash khóa công khai trong hợp đồng.","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Bảo vệ bằng mật khẩu: mã hóa khóa riêng bằng mật khẩu do người dùng đặt.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Đơn giản: dễ dùng và tương thích với hầu hết ví Bitcoin.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Kiểm soát thời gian: đặt hạn để người nhận nhận tiền.","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout cho phép chuyển tiền có điều kiện với thời hạn. Người nhận có thể nhận tiền trước hạn; sau đó người gửi có thể thu hồi.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Điều kiện chi: người nhận ký trước hạn; sau đó người gửi có thể thu hồi bằng chữ ký hợp lệ.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Trường hợp dùng: phù hợp cho đăng ký, thanh toán có điều kiện hoặc tình huống giống escrow.","translated"
"contractPopup.back","Back","Quay lại","translated"
"contractPopup.chooseFunction","Select a function","Chọn hàm","translated"
"contractPopup.enterData","Please enter data to generate the message.","Nhập dữ liệu để tạo tin nhắn.","translated"
"contractPopup.enterMessage","Enter message for {name}","Nhập tin nhắn cho {name}","translated"
"contractPopup.enterValue","Enter {name}","Nhập {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","Lấy khóa thất bại.","translated"
"contractPopup.generated","Message generated successfully!","Đã tạo tin nhắn thành công!","translated"
"contractPopup.generateMessage","Generate Message","Tạo tin nhắn","translated"
"contractPopup.generationFailed","Failed to generate message.","Tạo tin nhắn thất bại.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Định dạng {type} không hợp lệ. Hãy quét QR hợp lệ.","translated"
"contractPopup.message","Message","Tin nhắn","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","tin nhắn cho checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","Không tìm thấy khóa cho địa chỉ: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","Không phát hiện mã QR. Hãy thử lại.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","Quét QR cho {name}","translated"
"contractPopup.select","Select","Chọn","translated"
"contractPopup.selectAddress","Select Address","Chọn địa chỉ","translated"
"contractPopup.selected","Selected {type}","Đã chọn {type}","translated"
"contractPopup.title","Select a Function","Chọn một hàm","translated"
"contractView.address","Address","Địa chỉ","translated"
"contractView.addressCopied","Address copied to clipboard!","Đã sao chép địa chỉ vào bộ nhớ tạm!","translated"
