"key","English (en)","Arabic (ar)","Status"
"chat.searchConversations","Search conversations","البحث في المحادثات","translated"
"chat.send","Send","إرسال","translated"
"chat.setup","Nostr setup","إعداد Nostr","translated"
"chat.title","Chat","محادثة","translated"
"chat.youPrefix","You: ","أنت: ","translated"
"chat.yourNpub","Your npub","npub الخاص بك","translated"
"confirm.action","Confirm action","تأكيد الإجراء","translated"
"confirm.cancel","Cancel","إلغاء","translated"
"confirm.ok","OK","موافق","stable-term"
"console.appLog","App Log","سجل التطبيق","translated"
"console.clear","Clear","مسح","translated"
"console.noEntries","No log entries yet.","لا توجد إدخالات في السجل بعد.","translated"
"console.placeholder","method [params…]","method [params…]","stable-term"
"console.rpc","Electrum RPC","Electrum RPC","stable-term"
"console.send","Send","إرسال","translated"
"console.sending","…","…","stable-term"
"console.typeHint","Type: method param1 param2 — e.g. server.version or blockchain.headers.subscribe","النوع: method param1 param2 — مثل server.version أو blockchain.headers.subscribe","translated"
"contract.arbiter","Arbiter: A trusted party who authorizes release of funds.","المحكّم: طرف موثوق يصرّح بتحرير الأموال.","translated"
"contract.available","Available Contracts","العقود المتاحة","translated"
"contract.bip38","BIP38 (Password-Protected Private Keys)","BIP38 (مفاتيح خاصة محمية بكلمة مرور)","translated"
"contract.bip38Desc","The BIP38 contract secures private keys with a password. Its UTXOs require both the correct password and a valid signature.","يؤمّن عقد BIP38 المفاتيح الخاصة بكلمة مرور. تتطلب UTXOs الخاصة به كلمة المرور الصحيحة وتوقيعًا صالحًا.","translated"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","متطلبات الإنفاق: قدّم توقيع المالك وتوقيع بيانات صالحين للتحقق من كلمة المرور.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","حالة الاستخدام: مناسب لحماية المفاتيح الخاصة من السرقة أو الوصول غير المصرح به، خصوصًا للتخزين طويل الأجل.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","ثقة محسّنة: مفيد للمعاملات التي تتطلب عدة أطراف موثوقة.","translated"
"contract.escrow","Escrow","حساب الضمان","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","يدعم عقد الضمان معاملات آمنة بين مشترٍ وبائع مع محكّم موثوق. لا تُحرر الأموال إلا بموافقة المحكّم.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (ضمان متعدد الأطراف)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","يوسّع EscrowMS2 عقد الضمان بمحكّمين اثنين. يمكن تحرير الأموال بموافقة أحدهما أو بموافقتهما معًا.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","متطلبات الإنفاق: يقدّم أحد المحكّمين أو كلاهما توقيعات صالحة، ويذهب المبلغ كاملًا إلى المشتري أو البائع.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","الأمان: تبقى الأموال مقفلة حتى يوافق المحكّم، مما يساعد على منع الاحتيال أو النزاعات.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","متطلبات الإنفاق: يقدّم المحكّم توقيعًا صالحًا ويذهب المبلغ كاملًا إلى عنوان تجزئة المفتاح العام للمشتري أو البائع.","translated"
"contract.howToUse","How to Use Covenant Contracts","كيفية استخدام عقود العهود","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","افتح قسم العقود، واختر نوع العقد، واضبط شروطه، ثم انشره. للإنفاق من UTXOs العقد، استوفِ متطلبات الإنفاق المحددة أعلاه. تتوفر التعليمات والأمثلة التفصيلية في وثائق التطبيق.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","عقود العهود في OPTN Wallet هي عقود ذكية تفرض قواعد لإنفاق الأصول الرقمية. يقفل كل عقد الأموال في UTXOs لا يمكن إنفاقها إلا باستيفاء شروط محددة مسبقًا.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (خزينة متعددة التوقيعات)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","ينشئ MSVault خزينة مشتركة أو طويلة الأجل تتطلب عدة توقيعات وكلمة مرور، ويفرض حدًا أدنى للرصيد وقفلًا زمنيًا.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","متطلبات الإنفاق: قدّم توقيعًا صالحًا وتوقيع بيانات تم التحقق منه بكلمة مرور مع الحفاظ على 4000 ساتوشي على الأقل، أو استخدم توقيعًا صالحًا بعد انتهاء القفل الزمني.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","حالة الاستخدام: مناسب للملكية المشتركة أو التخزين طويل الأجل مع ضوابط وصول صارمة.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","محكّمان متعددان: يمكن لمحكّمين اثنين التصريح بتحرير الأموال.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","توقيع متعدد: يتطلب توقيعات من عدة أطراف مخولة.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (الدفع إلى تجزئة المفتاح العام)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH هو نص Bitcoin قياسي يحمي UTXOs بفرض توقيع من مالك تجزئة مفتاح عام محددة.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","الأمان: طريقة مجرّبة وموثوقة لحماية الأصول الرقمية.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","متطلبات الإنفاق: قدّم توقيعًا صالحًا يطابق تجزئة المفتاح العام في العقد.","translated"
