"key","English (en)","Chinese (Simplified) (zh-CN)","Status"
"settingsDerivation.description","OPTN supports one active BIP44 account path at a time. Reconfiguring it removes the old derived records and performs a fresh receive/change discovery and resync.","OPTN 同时支持一条活动的 BIP44 账户路径。重新配置会移除旧的派生记录，并重新发现和同步收款/找零地址。","translated"
"settingsDerivation.failed","Wallet reconfiguration failed.","钱包重新配置失败。","translated"
"settingsDerivation.invalidPath","Invalid derivation path.","派生路径无效。","translated"
"settingsDerivation.networkDefault","network default","网络默认值","translated"
"settingsDerivation.reconfiguring","Reconfiguring…","重新配置中…","translated"
"settingsDerivation.useDefault","Use network default","使用网络默认值","translated"
"settingsNetwork.active","Active","当前","translated"
"settingsNetwork.chipnet","Chipnet","Chipnet","stable-term"
"settingsNetwork.chipnetDescription","BCH testnet for upcoming CHIPs — test funds only","BCH 测试网 — 仅限测试资金","translated"
"settingsNetwork.comingSoon","Coming soon","即将推出","translated"
"settingsNetwork.description","Switching networks clears the active network records, derives the network path, and resynchronizes receive/change addresses. Custom paths are preserved across network changes.","切换网络会清除当前网络记录、派生网络路径，并重新同步收款和找零地址。自定义路径会在网络切换后保留。","translated"
"settingsNetwork.mainnet","Mainnet","主网","stable-term"
"settingsNetwork.mainnetDescription","Live BCH network — real funds","真实 BCH 网络 — 真实资金","translated"
"settingsNetwork.regtest","Regtest","Regtest","stable-term"
"settingsNetwork.reload","Reload and resync current wallet","重新加载并同步当前钱包","translated"
"settingsNetwork.reloading","Reloading wallet…","正在重新加载钱包…","translated"
"settingsNetwork.switching","Switching…","切换中…","translated"
"settingsNetwork.testnet3","Testnet3","Testnet3","stable-term"
"settingsNetwork.testnet4","Testnet4","Testnet4","stable-term"
"settingsPanels.addons","Addons","插件","translated"
"settingsPanels.appLock","App Lock","应用锁","translated"
"settingsPanels.cashfusion","CashFusion","CashFusion","stable-term"
"settingsPanels.console","Console","控制台","stable-term"
"settingsPanels.contract","Contract Info","合约信息","translated"
"settingsPanels.derivation","Derivation Path","派生路径","translated"
"settingsPanels.experimental","Experimental Features","实验性功能","translated"
"settingsPanels.faucet","Chipnet Faucet","Chipnet 水龙头","stable-term"
"settingsPanels.nostr","Nostr & Chat","Nostr 与聊天","translated"
"settingsPanels.server","Server","服务器","stable-term"
"settingsPanels.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsPanels.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.about","About OPTN","关于 OPTN","translated"
"settingsRows.aboutDescription","Version info","版本信息","translated"
"settingsRows.addons","Addons","插件","translated"
"settingsRows.addonsDescription","Install and manage third-party addons","安装和管理第三方插件","translated"
"settingsRows.appLock","App Lock","应用锁","translated"
"settingsRows.appLockDescription","Auto-lock · Change password","自动锁定 · 更改密码","translated"
"settingsRows.console","Console","控制台","stable-term"
"settingsRows.consoleDescription","App log · Electrum RPC","应用日志 · Electrum RPC","translated"
"settingsRows.contact","Contact Us","联系我们","translated"
"settingsRows.contactDescription","Get help and support","获取帮助和支持","translated"
"settingsRows.contractInfo","Contract Info","合约信息","translated"
"settingsRows.contractInfoDescription","View contract details","查看合约详情","translated"
"settingsRows.derivation","Derivation Path","派生路径","translated"
"settingsRows.derivationDescription","Customize and resync the active BIP44 path","自定义并重新同步当前 BIP44 路径","translated"
"settingsRows.experimental","Experimental Features","实验性功能","translated"
"settingsRows.experimentalDescription","RPA · CashFusion","RPA · CashFusion","stable-term"
"settingsRows.faucet","Chipnet Faucet","Chipnet 水龙头","stable-term"
"settingsRows.faucetDescription","Get test BCH on Chipnet","在 Chipnet 获取测试 BCH","translated"
"settingsRows.language","Language","语言","translated"
"settingsRows.languageDescription","Choose the wallet interface language","选择钱包界面语言","translated"
"settingsRows.network","Network","网络","translated"
"settingsRows.networkDescription","Switch between Mainnet and Chipnet","在主网和 Chipnet 之间切换","translated"
"settingsRows.nostr","Nostr & Chat","Nostr 与聊天","translated"
"settingsRows.nostrDescription","Private messages · Identity · Relay pool","私信 · 身份 · 中继池","translated"
"settingsRows.pendingOutbox","Pending Tx Locks","待处理交易锁","translated"
"settingsRows.pendingOutboxDescription","Review outgoing transaction locks","查看转出交易锁","translated"
"settingsRows.recovery","Recovery Phrase","恢复短语","translated"
"settingsRows.recoveryDescription","Back up your wallet","备份钱包","translated"
"settingsRows.server","Servers","服务器","translated"
"settingsRows.serverDescription","Electrum · Block explorer · Transaction fees","Electrum · 区块浏览器 · 交易费用","translated"
"settingsRows.terms","Terms of Use","使用条款","translated"
"settingsRows.termsDescription","Read our terms","阅读使用条款","translated"
"settingsRows.walletConnect","WalletConnect","WalletConnect","stable-term"
"settingsRows.walletConnectDescription","Manage dApp connections","管理 dApp 连接","translated"
"settingsRows.wizardConnect","WizardConnect","WizardConnect","stable-term"
"settingsRows.wizardConnectDescription","Connect to token wizards","连接代币向导","translated"
"terms.acceptance","1. Acceptance of Terms","1. 接受条款","translated"
"terms.acceptanceText","By accessing and using the OPTN Wallet App (“the App”), you agree to comply with and be bound by these Terms of Use. If you do not agree, please do not use the App.","访问和使用 OPTN Wallet（“本应用”）即表示你同意遵守这些使用条款。如果不同意，请不要使用本应用。","translated"
"terms.deviceSecurity","Ensuring the security of your device and the App.","确保设备和应用的安全。","translated"
"terms.modifications","6. Modifications","6. 修改","stable-term"
"terms.modificationsText","The developers may modify, suspend, or discontinue the App without prior notice and may update these Terms. You are responsible for reviewing them periodically.","开发者可以随时修改、暂停或停止本应用，恕不另行通知，也可以更新这些条款。你有责任定期查看。","translated"
"terms.noLiability","4. No Liability","4. 免责","translated"
"terms.noLiabilityText","The developers assume no liability for loss, damage, or unauthorized access arising from use of the App, including cryptocurrency loss, data breaches, or device malfunctions. You use the App at your own risk.","开发者不对因使用本应用造成的损失、损害或未经授权的访问负责，包括加密货币损失、数据泄露或设备故障。使用本应用的风险由你自行承担。","translated"
"terms.noWarranty","5. No Warranty","5. 无担保","translated"
"terms.noWarrantyText","The App is provided “as is” without express or implied warranties. The developers do not guarantee reliability, accuracy, completeness, error-free operation, or uninterrupted service.","本应用按“现状”提供，不作任何明示或暗示的担保。开发者不保证可靠性、准确性、完整性、无错误运行或服务不中断。","translated"
"terms.purpose","2. Purpose","2. 用途","translated"
"terms.purposeText","The OPTN Wallet App lets users securely store, send, and receive cryptocurrency. You are responsible for the security of your private keys and assets.","OPTN Wallet 允许用户安全地存储、发送和接收加密货币。你有责任确保私钥和资产安全。","translated"
"terms.responsibilities","3. User Responsibilities","3. 用户责任","translated"
"terms.responsibilitiesIntro","The OPTN Wallet App handles real cryptocurrency. You are solely responsible for:","OPTN Wallet 处理真实的加密货币。你对以下事项负全部责任：","translated"
"terms.responsibilitiesText","The development team is not responsible for loss of assets or unauthorized access resulting from failure to follow these practices.","因未遵循这些做法而造成的资产损失或未经授权的访问，开发团队不承担责任。","translated"
"terms.safeguard","Safeguarding your private keys and recovery phrases.","保护私钥和恢复短语。","translated"
"terms.verify","Verifying transaction details before confirming any actions.","在确认任何操作前核对交易详情。","translated"
"token.activeMinting","Active Minting","活跃铸造","translated"
"token.authHead","Auth Head","授权头","translated"
"token.bcmr","BCMR","BCMR","stable-term"
"token.bcmrUnavailable","BCMR metadata unavailable","BCMR 元数据不可用","translated"
"token.category","Category","类别","translated"
"token.chainStatsError","Unable to load token chain statistics right now.","当前无法加载代币链上统计信息。","translated"
"token.decimals","Decimals","小数位","translated"
"token.id","Token ID","代币 ID","translated"
"token.loading","Loading token data…","正在加载代币数据…","translated"
"token.no","No","否","translated"
"token.symbol","Symbol","符号","translated"
"token.totalNfts","Total NFTs","NFT 总数","translated"
"token.totalSupply","Total Supply","总供应量","translated"
"token.unavailable","Unavailable","不可用","translated"
"token.yes","Yes","是","translated"
"tor.appRunsOwn","The app runs its own Tor — no Tor Browser needed","应用运行自带的 Tor，无需 Tor Browser","translated"
"tor.autoDetect","Auto-detect (9050 / 9150)","自动检测（9050 / 9150）","translated"
"tor.bootstrapping","Bootstrapping Tor… {percent}%","正在引导 Tor… {percent}%","translated"
"tor.check","Check Tor","检查 Tor","translated"
"tor.checking","Checking…","检查中…","translated"
"tor.desktopOnly","Desktop only","仅桌面端","translated"
"tor.disable","Disable","禁用","translated"
"tor.enable","Enable","启用","translated"
"tor.externalOption","Or use a Tor you run yourself:","或者使用你自己运行的 Tor：","translated"
"tor.foundOnPort","Tor found on port {port} ✓","在端口 {port} 找到 Tor ✓","translated"
"tor.integrated","Integrated Tor","集成 Tor","translated"
"tor.manualPort","Manual port","手动端口","translated"
"tor.noExternal","No external Tor found. Either press “Start integrated Tor” above (recommended), or start Tor Browser (9150) / a system Tor daemon (9050) and press “Check Tor”. Without Tor, remote CashFusion is blocked.","未找到外部 Tor。请点击上面的“启动集成 Tor”（推荐），或启动 Tor Browser（9150）/系统 Tor 守护进程（9050）后点击“检查 Tor”。没有 Tor 时，远程 CashFusion 将被阻止。","translated"
"tor.noProxy","No Tor proxy running ✗","没有运行中的 Tor 代理 ✗","translated"
"tor.remoteRequired","Required for remote CashFusion servers","远程 CashFusion 服务器需要此功能","translated"
"tor.runningOn","Running on port {port} ✓","运行于端口 {port} ✓","translated"
"tor.starting","Starting…","启动中…","translated"
"tor.startIntegrated","Start integrated Tor","启动集成 Tor","translated"
"tor.stop","Stop","停止","translated"
"tor.title","Tor","Tor","stable-term"
"tor.usingManual","Using manual port {port}","使用手动端口 {port}","translated"
"txDetails.bch","BCH","BCH","stable-term"
"txDetails.index","Index","索引","stable-term"
"txDetails.locktime","Locktime","锁定时间","translated"
"txDetails.txid","TXID","TXID","stable-term"
"txDetails.version","Version","版本","stable-term"
"txSummary.bch","BCH","BCH","stable-term"
"txSummary.bchInput","bch input","BCH 输入","translated"
"txSummary.bytes","bytes","字节","stable-term"
"txSummary.fee","Fee","费用","translated"
"txSummary.feeRate","Fee rate","费率","translated"
"txSummary.inputs","Inputs","输入","translated"
"txSummary.outputs","Outputs","输出","translated"
"txSummary.sats","sats","sats","stable-term"
"txSummary.token","token","代币","stable-term"
"txSummary.tokenInput","token input","代币输入","translated"
"txSummary.txSize","Tx size","交易大小","translated"
"utxo.amount","Amount","数量","translated"
"utxo.bitcoinCash","Bitcoin Cash","Bitcoin Cash","stable-term"
"utxo.ft","FT","FT","stable-term"
"utxo.height","Height","高度","translated"
"utxo.loading","Loading UTXOs…","正在加载 UTXO…","translated"
"utxo.name","Name","名称","translated"
"utxo.nft","NFT","NFT","stable-term"
"utxo.none","No UTXOs to display.","没有可显示的 UTXO。","translated"
"utxo.pos","Pos","位置","translated"
"utxo.tokens","tokens","代币","stable-term"
"utxo.txHash","Tx Hash","交易哈希","translated"
"walkthrough.label","Walkthrough","操作指南","translated"
"watchOnly.accountXpub","Account xPub","账户 xPub","translated"
"watchOnly.back","Back to wallets","返回钱包","translated"
"watchOnly.change","Change #{index}","找零 #{index}","translated"
"watchOnly.chipnet","Chipnet","Chipnet","stable-term"
"watchOnly.comingNext","Coming next","即将推出","translated"
"watchOnly.description","Inspect public BCH addresses without importing any private keys.","无需导入私钥即可查看公开 BCH 地址。","translated"
"watchOnly.mainnet","Mainnet","主网","stable-term"
"watchOnly.multipleCosigners","Multiple cosigners","多个共同签名者","translated"
"watchOnly.multisign","Multisign","多重签名","translated"
"watchOnly.network","Network","网络","translated"
"watchOnly.pathNote","Confirm that SeedCash exported this account at m/44'/145'/account'. A standalone BIP32 xPub cannot prove its parent purpose or coin path.","请确认 SeedCash 将此账户导出为 m/44'/145'/account'。独立的 BIP32 xPub 无法证明其父级用途或币种路径。","translated"
"watchOnly.previewPublic","Preview public addresses","预览公开地址","translated"
"watchOnly.previewTitle","Public address preview","公开地址预览","translated"
"watchOnly.receive","Receive #{index}","接收 #{index}","translated"
"watchOnly.scanCamera","Scan (camera)","扫描（相机）","translated"
"watchOnly.standard","Standard","标准","stable-term"
"watchOnly.title","Watch-Only Wallet Preview","观察钱包预览","translated"
"watchOnly.type","Watch-only wallet type","观察钱包类型","translated"
"watchOnly.uploadQr","Upload QR","上传 QR","translated"
"watchOnly.warning","Public preview only: this screen does not save a watch-only wallet or create, sign, import, or broadcast PSBT transactions yet.","仅公开预览：此页面目前不会保存观察钱包，也不会创建、签名、导入或广播 PSBT 交易。","translated"
"watchOnly.xpubPlaceholder","Paste the xPub exported by SeedCash","粘贴 SeedCash 导出的 xPub","translated"
"wc.activeSessions","Active WalletConnect Sessions","活动的 WalletConnect 会话","translated"
"wc.address","Address","地址","translated"
"wc.approvalFailedBody","Failed to approve the session request from {name}.","无法批准来自 {name} 的会话请求。","translated"
"wc.approvalFailedTitle","WalletConnect approval failed","WalletConnect 批准失败","translated"
"wc.approve","Approve","批准","translated"
"wc.approvedBody","Connected to {name}.","已连接到 {name}。","translated"
"wc.approvedTitle","WalletConnect session approved","WalletConnect 会话已批准","translated"
"wc.approveSession","Approve Session","批准会话","translated"
"wc.broadcast","Broadcast","广播","translated"
"wc.broadcastLocked","Another outgoing transaction is still syncing. To avoid duplicates while you are offline, this wallet will only broadcast one unresolved transaction at a time.","另一笔转出交易仍在同步。为避免离线时重复发送，钱包一次只会广播一笔未解决的交易。","translated"
"wc.cancel","Cancel","取消","translated"
"wc.close","Close","关闭","translated"
"wc.connect","Connect","连接","translated"
"wc.connectionUri","Connection URI","连接 URI","translated"
"wc.dappName","DApp Name","DApp 名称","translated"
"wc.disconnect","Disconnect","断开连接","translated"
"wc.disconnectsOn","Disconnects On","断开时间","translated"
"wc.domain","Domain","域名","translated"
"wc.enterUri","Enter WalletConnect URI","输入 WalletConnect URI","translated"
"wc.estimatedFee","Estimated Fee","预计费用","translated"
"wc.fungibleAmount","Fungible Amount","同质化代币数量","translated"
"wc.index","Index","索引","stable-term"
"wc.inputs","Inputs ({count})","输入（{count}）","translated"
"wc.invalidLockingBytecode","Invalid locking bytecode","无效的锁定字节码","translated"
"wc.invalidQr","Not a valid WalletConnect URI.","不是有效的 WalletConnect URI。","translated"
"wc.messageApprovedBody","Approved the WalletConnect message request.","已批准 WalletConnect 消息请求。","translated"
"wc.messageFailedBody","Failed to sign WalletConnect message request.","无法签名 WalletConnect 消息请求。","translated"
"wc.messageFailedTitle","WalletConnect message failed","WalletConnect 消息失败","translated"
"wc.messageRejectedBody","Rejected the WalletConnect message request.","已拒绝 WalletConnect 消息请求。","translated"
"wc.messageRejectedTitle","WalletConnect message rejected","WalletConnect 消息已拒绝","translated"
"wc.messageRejectFailedBody","Failed to reject WalletConnect message request.","无法拒绝 WalletConnect 消息请求。","translated"
"wc.messageSignedBody","Approved request from {name}.","已批准来自 {name} 的请求。","translated"
"wc.messageSignedTitle","WalletConnect message signed","WalletConnect 消息已签名","translated"
"wc.messageToSign","Message to Sign","待签名消息","translated"
"wc.nftCapability","NFT Capability","NFT 能力","translated"
"wc.nftCommitment","NFT Commitment","NFT 承诺值","translated"
"wc.no","No","否","translated"
"wc.noActiveSessions","No active WalletConnect sessions yet.","暂无活动的 WalletConnect 会话。","translated"
"wc.noQr","No QR code detected. Try again.","未检测到二维码，请重试。","translated"
"wc.noSessions","No active sessions.","没有活动会话。","translated"
"wc.opReturnOutput","OP_RETURN Output","OP_RETURN 输出","translated"
"wc.outputs","Outputs ({count})","输出（{count}）","translated"
"wc.pairingStarted","WalletConnect pairing started.","WalletConnect 配对已开始。","translated"
"wc.pairingSuccessful","WalletConnect pairing successful via QR.","通过二维码成功完成 WalletConnect 配对。","translated"
"wc.prompt","Prompt","提示","translated"
"wc.reject","Reject","拒绝","translated"
"wc.rejectedBody","Rejected the session request from {name}.","已拒绝来自 {name} 的会话请求。","translated"
"wc.rejectedTitle","WalletConnect session rejected","WalletConnect 会话已拒绝","translated"
"wc.rejectionFailedBody","Failed to reject the session request from {name}.","无法拒绝来自 {name} 的会话请求。","translated"
"wc.rejectionFailedTitle","WalletConnect rejection failed","WalletConnect 拒绝失败","translated"
"wc.rejectionSentBody","Sent the rejection response to the dApp.","已将拒绝响应发送给 DApp。","translated"
"wc.rejectionStaleBody","The dApp disconnected before the rejection response could be delivered.","DApp 在拒绝响应送达前断开了连接。","translated"
"wc.requestExpiredBody","The dApp request expired before it could be completed.","dApp 请求在完成前已过期。","translated"
"wc.requestExpiredTitle","WalletConnect request expired","WalletConnect 请求已过期","translated"
"wc.scanFailed","WalletConnect scan failed.","WalletConnect 扫描失败。","translated"
"wc.scanQr","Scan QR","扫描二维码","translated"
"wc.sessionDisconnectedBody","A WalletConnect session was disconnected remotely.","WalletConnect 会话已被远程断开。","translated"
"wc.sessionDisconnectedFrom","Disconnected from {name}.","已与 {name} 断开连接。","translated"
"wc.sessionDisconnectedTitle","WalletConnect session disconnected","WalletConnect 会话已断开","translated"
"wc.sessionRequestExpiredBody","The WalletConnect session request timed out before approval.","WalletConnect 会话请求在批准前已超时。","translated"
"wc.sessionRequestExpiredTitle","WalletConnect session request expired","WalletConnect 会话请求已过期","translated"
"wc.sessionRequestFrom","Session request from {name}.","来自 {name} 的会话请求。","translated"
"wc.sessionRequestGeneric","A dApp requested a WalletConnect session.","某个 dApp 请求建立 WalletConnect 会话。","translated"
"wc.sessionRequestTitle","WalletConnect session request","WalletConnect 会话请求","translated"
"wc.settings","Settings","设置","translated"
"wc.sign","Sign","签名","translated"
"wc.signMessageRequest","Sign Message Request","签名消息请求","translated"
"wc.signTransactionRequest","Sign Transaction Request","签名交易请求","translated"
"wc.tokenCategory","Token Category","代币类别","translated"
"wc.totalInput","Total Input","输入总额","translated"
"wc.totalOutput","Total Output","输出总额","translated"
"wc.transactionApprovedTitle","WalletConnect transaction approved","WalletConnect 交易已批准","translated"
"wc.transactionFailedBody","Failed to sign WalletConnect transaction request: {message}","无法签名 WalletConnect 交易请求：{message}","translated"
"wc.transactionFailedTitle","WalletConnect transaction failed","WalletConnect 交易失败","translated"
"wc.transactionRejectedTitle","WalletConnect transaction rejected","WalletConnect 交易已拒绝","translated"
"wc.transactionRejectionFailedBody","Failed to reject WalletConnect transaction request: {message}","无法拒绝 WalletConnect 交易请求：{message}","translated"
"wc.transactionResponseSentBody","Sent the WalletConnect transaction response.","已发送 WalletConnect 交易响应。","translated"
"wc.transactionSentBody","Sent the transaction response to {name}.","已将交易响应发送给 {name}。","translated"
"wc.transactionStaleBody","The dApp disconnected before the transaction response could be delivered.","DApp 在交易响应送达前断开了连接。","translated"
"wc.txid","TXID","TXID","stable-term"
"wc.unknownDapp","Unknown dApp","未知 DApp","translated"
"wc.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","此请求使用了当前 OPTN Wallet 集成不支持的交易表示形式。","translated"
"wc.validUri","Please provide a valid WalletConnect URI.","请输入有效的 WalletConnect URI。","translated"
"wc.waitingForSync","Waiting for sync","等待同步","translated"
"wc.waitPrevious","Wait for the previous outgoing transaction to sync first","请等待上一笔转出交易完成同步","translated"
"wc.working","Working…","处理中…","translated"
"wc.yes","Yes","是","translated"
"wizard.activeSessions","Active WizardConnect Sessions","活动的 WizardConnect 会话","translated"
"wizard.address","Address","地址","translated"
"wizard.approve","Approve WizardConnect","批准 WizardConnect","translated"
"wizard.approved","WizardConnect transaction approved and sent.","WizardConnect 交易已批准并发送。","translated"
"wizard.approveFailed","WizardConnect transaction failed: {message}","WizardConnect 交易失败：{message}","translated"
"wizard.broadcast","Broadcast","广播","translated"
"wizard.cancel","Cancel","取消","translated"
"wizard.close","Close","关闭","translated"
"wizard.connect","Connect","连接","translated"
"wizard.connectedOn","Connected On","连接时间","translated"
"wizard.connecting","Connecting…","连接中…","translated"
"wizard.connectionUri","Connection URI","连接 URI","translated"
"wizard.connectQuestion","Connect this wallet to the following WizardConnect request?","要将此钱包连接到以下 WizardConnect 请求吗？","translated"
"wizard.dapp","DApp","DApp","stable-term"
"wizard.disconnect","Disconnect","断开连接","translated"
"wizard.enterUri","Enter WizardConnect URI","输入 WizardConnect URI","translated"
"wizard.errorPrefix","Error: {message}","错误：{message}","translated"
"wizard.estimatedFee","Estimated Fee","预计费用","translated"
"wizard.fungibleAmount","Fungible Amount","同质化代币数量","translated"
"wizard.index","Index","索引","stable-term"
"wizard.invalidQr","Not a valid WizardConnect QR code.","不是有效的 WizardConnect 二维码。","translated"
"wizard.no","No","否","translated"
"wizard.noActiveSessions","No active WizardConnect sessions yet.","暂无活动的 WizardConnect 会话。","translated"
"wizard.noQr","No QR code detected. Try again.","未检测到二维码，请重试。","translated"
"wizard.noWallet","No active wallet is available for WizardConnect.","没有可用于 WizardConnect 的活动钱包。","translated"
"wizard.opReturnOutput","OP_RETURN Output","OP_RETURN 输出","translated"
"wizard.pairingStarted","WizardConnect pairing started.","WizardConnect 配对已开始。","translated"
"wizard.prompt","Prompt","提示","translated"
"wizard.rejected","WizardConnect transaction rejected.","WizardConnect 交易已拒绝。","translated"
"wizard.rejectFailed","WizardConnect rejection failed: {message}","WizardConnect 拒绝失败：{message}","translated"
"wizard.scanFailed","WizardConnect scan failed.","WizardConnect 扫描失败。","translated"
"wizard.sessionDisconnectedOrExpired","A WizardConnect session disconnected or expired on the dApp side.","WizardConnect 会话已在 dApp 端断开或过期。","translated"
"wizard.settings","Settings","设置","translated"
"wizard.sign","Sign","签名","translated"
"wizard.signRequest","WizardConnect Sign Request","WizardConnect 签名请求","translated"
"wizard.status","Status","状态","stable-term"
"wizard.tokenCategory","Token Category","代币类别","translated"
"wizard.totalInput","Total Input","输入总额","translated"
"wizard.totalOutput","Total Output","输出总额","translated"
"wizard.txid","TXID","TXID","stable-term"
"wizard.unknownDapp","Unknown dApp","未知 DApp","translated"
"wizard.unsupportedTransaction","This request uses an unsupported transaction representation in the current OPTN Wallet integration.","此请求使用了当前 OPTN Wallet 集成不支持的交易表示形式。","translated"
"wizard.validUri","Please provide a valid WizardConnect URI.","请输入有效的 WizardConnect URI。","translated"
"wizard.yes","Yes","是","translated"
