"key","English (en)","Portuguese (Brazil) (pt-BR)","Status"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","O contrato Escrow permite transações seguras entre comprador e vendedor com um árbitro confiável. Os fundos só são liberados com a aprovação do árbitro.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (escrow multipartes)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","O EscrowMS2 amplia o escrow com dois árbitros. Os fundos podem ser liberados com a aprovação de um árbitro ou com a aprovação conjunta dos dois.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","Requisitos de gasto: um ou ambos os árbitros fornecem assinaturas válidas, e o valor total vai para o comprador ou vendedor.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","Segurança: os fundos permanecem bloqueados até a aprovação do árbitro, ajudando a evitar fraude ou disputas.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","Requisitos de gasto: o árbitro fornece uma assinatura válida e o valor total vai para o endereço de hash da chave pública do comprador ou vendedor.","translated"
"contract.howToUse","How to Use Covenant Contracts","Como usar contratos covenant","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","Abra a seção Contratos, escolha um tipo de contrato, configure suas condições e implante-o. Para gastar UTXOs do contrato, cumpra os requisitos específicos acima. Instruções detalhadas e exemplos estão disponíveis na documentação do app.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","Os contratos covenant da OPTN Wallet são contratos inteligentes que impõem regras para gastar ativos digitais. Cada contrato bloqueia fundos em UTXOs que só podem ser gastos quando condições predefinidas são atendidas.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (cofre multisig)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","O MSVault cria um cofre compartilhado ou de longo prazo que exige várias assinaturas e uma senha. Ele impõe um saldo mínimo e um bloqueio por tempo.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","Requisitos de gasto: forneça uma assinatura válida e uma assinatura de dados verificada por senha, mantendo pelo menos 4000 satoshis, ou use uma assinatura válida após o fim do bloqueio de tempo.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","Uso: adequado para propriedade compartilhada ou armazenamento de longo prazo com controles de acesso rigorosos.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","Vários árbitros: dois árbitros podem autorizar a liberação dos fundos.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","Multisignature: exige assinaturas de várias partes autorizadas.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (Pay-to-Public-Key-Hash)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH é um script padrão do Bitcoin que protege UTXOs exigindo uma assinatura do proprietário do hash de chave pública especificado.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","Segurança: método comprovado e confiável para proteger ativos digitais.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","Requisitos de gasto: forneça uma assinatura válida correspondente ao hash de chave pública do contrato.","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Proteção por senha: criptografa sua chave privada com uma senha definida pelo usuário.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Simplicidade: fácil de usar e compatível com a maioria das carteiras Bitcoin.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Controle por tempo: define um prazo para o destinatário reivindicar os fundos.","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout permite transferências condicionais com prazo. O destinatário pode reivindicar os fundos antes do prazo; depois, o remetente pode recuperá-los.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Requisitos de gasto: o destinatário assina antes do prazo; depois, o remetente pode recuperar os fundos com uma assinatura válida.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Usos: útil para assinaturas, pagamentos condicionais ou situações semelhantes a escrow.","translated"
"contractPopup.back","Back","Voltar","translated"
"contractPopup.chooseFunction","Select a function","Selecionar uma função","translated"
"contractPopup.enterData","Please enter data to generate the message.","Insira os dados para gerar a mensagem.","translated"
"contractPopup.enterMessage","Enter message for {name}","Insira a mensagem para {name}","translated"
"contractPopup.enterValue","Enter {name}","Insira {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","Falha ao buscar chaves.","translated"
"contractPopup.generated","Message generated successfully!","Mensagem gerada com sucesso!","translated"
"contractPopup.generateMessage","Generate Message","Gerar mensagem","translated"
"contractPopup.generationFailed","Failed to generate message.","Falha ao gerar a mensagem.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Formato de {type} inválido. Escaneie um QR válido.","translated"
"contractPopup.message","Message","Mensagem","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","mensagem para checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","Nenhuma chave encontrada para o endereço: {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","Nenhum código QR detectado. Tente novamente.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","Escanear QR para {name}","translated"
"contractPopup.select","Select","Selecionar","translated"
"contractPopup.selectAddress","Select Address","Selecionar endereço","translated"
"contractPopup.selected","Selected {type}","{type} selecionado","translated"
"contractPopup.title","Select a Function","Selecionar uma função","translated"
"contractView.address","Address","Endereço","translated"
"contractView.addressCopied","Address copied to clipboard!","Endereço copiado para a área de transferência!","translated"
"contractView.argumentTypeInfo","Argument type info","Informações do tipo do argumento","translated"
"contractView.back","Back","Voltar","translated"
"contractView.balance","Balance","Saldo","translated"
"contractView.blockHeight","Current Block Height","Altura atual do bloco","translated"
"contractView.blockHeightInfo","Blocks increment on an average interval of 10 minutes.","Os blocos avançam em um intervalo médio de 10 minutos.","translated"
"contractView.constructorArgs","Constructor Arguments","Argumentos do construtor","translated"
"contractView.copyFailed","Failed to copy address.","Falha ao copiar o endereço.","translated"
"contractView.create","Create Contract","Criar contrato","translated"
"contractView.created","Contract created successfully!","Contrato criado com sucesso!","translated"
"contractView.createFailed","Failed to create contract: {message}","Falha ao criar o contrato: {message}","translated"
