"key","English (en)","French (fr)","Status"
"contract.bip38Spending","Spending Requirements: Provide a valid owner signature and a data signature verifying the password.","Conditions de dépense : fournir une signature valide du propriétaire et une signature de données vérifiant le mot de passe.","translated"
"contract.bip38UseCase","Use Case: Ideal for protecting private keys against theft or unauthorized access, especially for long-term storage.","Usage : idéal pour protéger les clés privées contre le vol ou l’accès non autorisé, notamment pour le stockage à long terme.","translated"
"contract.enhancedTrust","Enhanced Trust: Useful for transactions requiring multiple trusted parties.","Confiance renforcée : utile pour les transactions exigeant plusieurs parties de confiance.","translated"
"contract.escrow","Escrow","Escrow","stable-term"
"contract.escrowDesc","The Escrow contract supports secure transactions between a buyer and seller with a trusted arbiter. Funds are released only with the arbiter’s approval.","Le contrat Escrow permet des transactions sécurisées entre acheteur et vendeur avec un arbitre de confiance. Les fonds ne sont libérés qu’avec son accord.","translated"
"contract.escrowMS2","EscrowMS2 (Multi-Party Escrow)","EscrowMS2 (escrow multipartite)","stable-term"
"contract.escrowMS2Desc","EscrowMS2 extends escrow with two arbiters. Funds can be released with one arbiter’s approval or both arbiters’ combined approval.","EscrowMS2 étend l’escrow avec deux arbitres. Les fonds peuvent être libérés avec l’accord d’un arbitre ou l’accord conjoint des deux.","translated"
"contract.escrowMS2Spending","Spending Requirements: One arbiter or both arbiters provide valid signatures, and the full amount goes to the buyer or seller.","Conditions de dépense : un arbitre ou les deux fournissent des signatures valides, et le montant total va à l’acheteur ou au vendeur.","translated"
"contract.escrowSecurity","Security: Funds remain locked until the arbiter approves, helping prevent fraud or disputes.","Sécurité : les fonds restent verrouillés jusqu’à l’approbation de l’arbitre, ce qui aide à prévenir fraude et litiges.","translated"
"contract.escrowSpending","Spending Requirements: The arbiter provides a valid signature and the full amount goes to the buyer’s or seller’s public-key-hash address.","Conditions de dépense : l’arbitre fournit une signature valide et le montant total va à l’adresse de hash de clé publique de l’acheteur ou du vendeur.","translated"
"contract.howToUse","How to Use Covenant Contracts","Utiliser les contrats covenant","translated"
"contract.howToUseText","Open the Contracts section, choose a contract type, configure its conditions, and deploy it. To spend from contract UTXOs, meet the specific spending requirements above. Detailed instructions and examples are available in the app documentation.","Ouvrez la section Contrats, choisissez un type de contrat, configurez ses conditions et déployez-le. Pour dépenser les UTXO du contrat, respectez les conditions de dépense indiquées. Des instructions détaillées et des exemples figurent dans la documentation de l’application.","translated"
"contract.intro","Covenant contracts in the OPTN Wallet are smart contracts that enforce rules for spending digital assets. Each contract locks funds in UTXOs that can only be spent by meeting predefined conditions.","Les contrats covenant d’OPTN Wallet sont des contrats intelligents qui imposent des règles de dépense des actifs numériques. Chaque contrat verrouille des fonds dans des UTXO qui ne peuvent être dépensés qu’en respectant des conditions prédéfinies.","translated"
"contract.msvault","MSVault (Multi-Signature Vault)","MSVault (coffre multisignature)","stable-term"
"contract.msvaultDesc","MSVault creates a secure shared or long-term vault requiring multiple signatures and a password. It enforces a minimum balance and time lock.","MSVault crée un coffre partagé ou de long terme qui exige plusieurs signatures et un mot de passe. Il impose un solde minimal et un verrouillage temporel.","translated"
"contract.msvaultSpending","Spending Requirements: Provide a valid signature and password-verified data signature while maintaining at least 4000 satoshis, or use a valid signature after the time lock expires.","Conditions de dépense : fournir une signature valide et une signature de données vérifiée par mot de passe en conservant au moins 4000 satoshis, ou utiliser une signature valide après expiration du verrouillage.","translated"
"contract.msvaultUseCase","Use Case: Suitable for shared ownership or long-term storage with strict access controls.","Usage : adapté à la propriété partagée ou au stockage de long terme avec des contrôles d’accès stricts.","translated"
"contract.multipleArbiters","Multiple Arbiters: Two arbiters can authorize release of funds.","Arbitres multiples : deux arbitres peuvent autoriser la libération des fonds.","translated"
"contract.multiSignature","Multi-Signature: Requires signatures from multiple authorized parties.","Multisignature : exige les signatures de plusieurs parties autorisées.","translated"
"contract.p2pkh","P2PKH (Pay-to-Public-Key-Hash)","P2PKH (Pay-to-Public-Key-Hash)","stable-term"
"contract.p2pkhDesc","P2PKH is a standard Bitcoin script that protects UTXOs by requiring a signature from the owner of a specified public-key hash.","P2PKH est un script Bitcoin standard qui protège les UTXO en exigeant la signature du propriétaire du hash de clé publique indiqué.","translated"
"contract.p2pkhSecurity","Security: A proven and reliable method for protecting digital assets.","Sécurité : méthode éprouvée et fiable pour protéger les actifs numériques.","translated"
"contract.p2pkhSpending","Spending Requirements: Provide a valid signature matching the public-key hash in the contract.","Conditions de dépense : fournir une signature valide correspondant au hash de clé publique du contrat.","translated"
"contract.passwordProtection","Password Protection: Encrypts your private key with a user-defined password.","Protection par mot de passe : chiffre votre clé privée avec un mot de passe défini par l’utilisateur.","translated"
"contract.simplicity","Simplicity: Easy to use and compatible with most Bitcoin wallets.","Simplicité : facile à utiliser et compatible avec la plupart des portefeuilles Bitcoin.","translated"
"contract.timeControl","Time-Based Control: Sets a deadline for the recipient to claim funds.","Contrôle temporel : fixe une échéance pour que le destinataire réclame les fonds.","translated"
"contract.transfer","TransferWithTimeout","TransferWithTimeout","stable-term"
"contract.transferDesc","TransferWithTimeout enables conditional transfers with a deadline. The recipient can claim funds before the timeout; the sender can reclaim them afterward.","TransferWithTimeout permet des transferts conditionnels avec une échéance. Le destinataire peut réclamer les fonds avant l’expiration ; ensuite, l’expéditeur peut les récupérer.","translated"
"contract.transferSpending","Spending Requirements: The recipient signs before the timeout; afterward, the sender can reclaim funds with a valid signature.","Conditions de dépense : le destinataire signe avant l’expiration ; ensuite, l’expéditeur peut récupérer les fonds avec une signature valide.","translated"
"contract.transferUseCase","Use Cases: Useful for subscriptions, conditional payments, or escrow-like scenarios.","Usages : utile pour les abonnements, paiements conditionnels ou scénarios de type escrow.","translated"
"contractPopup.back","Back","Retour","translated"
"contractPopup.chooseFunction","Select a function","Sélectionner une fonction","translated"
"contractPopup.enterData","Please enter data to generate the message.","Saisissez les données pour générer le message.","translated"
"contractPopup.enterMessage","Enter message for {name}","Saisir le message pour {name}","translated"
"contractPopup.enterValue","Enter {name}","Saisir {name}","translated"
"contractPopup.fetchFailed","Failed to fetch keys.","Échec de récupération des clés.","translated"
"contractPopup.generated","Message generated successfully!","Message généré avec succès !","translated"
"contractPopup.generateMessage","Generate Message","Générer le message","translated"
"contractPopup.generationFailed","Failed to generate message.","Échec de génération du message.","translated"
"contractPopup.invalidFormat","Invalid {type} format. Please scan a valid QR code.","Format {type} invalide. Scannez un QR valide.","translated"
"contractPopup.message","Message","Message","stable-term"
"contractPopup.messageForCheck","message for checkdatasig","message pour checkdatasig","translated"
"contractPopup.noKeys","No keys found for address: {address}","Aucune clé trouvée pour l’adresse : {address}","translated"
"contractPopup.noQr","No QR code detected. Please try again.","Aucun QR détecté. Réessayez.","translated"
"contractPopup.scanFor","Scan QR Code for {name}","Scanner le QR de {name}","translated"
"contractPopup.select","Select","Sélectionner","translated"
"contractPopup.selectAddress","Select Address","Sélectionner une adresse","translated"
