"key","English (en)","Russian (ru)","Status"
"history.transaction","Transaction","Транзакция","stable-term"
"history.transactionHash","Transaction Hash","Хеш транзакции","translated"
"history.unavailable","Unavailable","Недоступна","translated"
"history.unconfirmed","Unconfirmed","Неподтверждённая","translated"
"history.unknown","Unknown","Неизвестная","translated"
"history.yourWallet","Your wallet","Ваш кошелёк","translated"
"home.block","Block","Блок","translated"
"home.confirmed","Confirmed","Подтверждено","translated"
"home.latestActivity","Latest wallet activity","Последняя активность кошелька","translated"
"home.noQrCode","No QR code detected. Try again.","QR-код не найден. Попробуйте ещё раз.","translated"
"home.noRecentActivity","No recent activity yet.","Недавней активности пока нет.","translated"
"home.pending","Pending","Ожидание","translated"
"home.pendingConfirmation","Pending confirmation","Ожидает подтверждения","translated"
